Category,Issue,Platform,Severity,Keywords,Description,Do,Dont,Code Good,Code Bad,Metric,Reference URL
Rendering,StrictMode Performance Detection,Android,Medium,strictmode disk network main thread policy detection debug,Disk reads and network calls on main thread going undetected during development,Enable StrictMode in debug builds to detect main thread violations early,Ship debug without StrictMode; find violations in production,if (BuildConfig.DEBUG) StrictMode.setThreadPolicy(ThreadPolicy.Builder().detectAll().penaltyLog().build()),// No StrictMode; disk reads on main thread cause subtle jank,0 StrictMode violations,https://developer.android.com/reference/android/os/StrictMode
Rendering,Perfetto System Tracing,Android,Medium,perfetto trace system profiling custom section method,Using basic logging instead of structured tracing for performance analysis,Use Perfetto with custom trace sections for precise performance analysis,println-based timing or no tracing,trace('loadData') { repository.fetchItems() }; // visible in Perfetto UI,println('Start:' + System.currentTimeMillis()) // no structured tracing,Identify bottlenecks,https://developer.android.com/studio/profile/perfetto-overview
Bundle,App Bundle Dynamic Delivery,Android,High,app bundle aab dynamic delivery feature module on demand,Shipping fat APKs instead of optimized App Bundles; wasting 15-20% size,Use Android App Bundle with dynamic feature modules; reduces APK size per device by 15-20%,Ship universal APK or single monolithic APK for all devices,// build.gradle: bundle { language { enableSplit true }; density { enableSplit true }; abi { enableSplit true } },// Single universal APK: 80MB with all densities ABIs languages included,15-20% smaller per device,https://developer.android.com/guide/app-bundle
Memory,Kotlin Coroutines Dispatcher Selection,Android,High,coroutines dispatcher io default main unconfined thread pool,Using wrong dispatcher causing thread pool exhaustion or main thread blocking,Use Dispatchers.IO for I/O; Default for CPU; Main for UI; inject dispatchers for testing,Use Dispatchers.IO for CPU work or Main for I/O; hardcode dispatchers,withContext(dispatchers.io) { api.call() }; withContext(dispatchers.default) { parseJson(data) },GlobalScope.launch(Dispatchers.Main) { database.query() } // blocks UI; leaks,Correct thread usage,https://developer.android.com/kotlin/coroutines/coroutines-best-practices
Memory,DataStore over SharedPreferences,Android,Medium,datastore proto sharedpreferences preferences async coroutine,SharedPreferences blocking main thread with synchronous I/O and no type safety,Use Jetpack DataStore for async type-safe preferences; Proto DataStore for complex data,Use SharedPreferences with commit() on main thread; putString for complex objects,val TOKEN by dataStore.data.map { it[TOKEN_KEY] }.collectAsState(); // async non-blocking,sharedPrefs.edit().putString('data' json).commit() // synchronous; blocks main thread,Non-blocking reads,https://developer.android.com/topic/libraries/architecture/datastore
Rendering,Compose Navigation Performance,Android,Medium,navigation compose destination backstack animation transition,Navigation Compose creating new instances on every navigation causing re-initialization,Use SavedStateHandle; configure proper NavHost animations; avoid heavy composables at route level,Re-create complex composables on every navigation; no saved state,NavHost(startDestination = route) { composable(route) { viewModel: VM = hiltViewModel() } },// No SavedStateHandle; heavy init in composable(); full reload on back navigation,Instant back navigation,https://developer.android.com/guide/navigation/design/compose
Rendering,Adaptive Layout Multi-Window,Android,Medium,adaptive layout foldable large screen multi-window tablet,App crashes or performs poorly in multi-window and foldable configurations,Use WindowSizeClass for adaptive layouts; test on foldable emulators; handle configuration changes,Hardcode portrait layout; ignore multi-window; recreate activity on fold,val windowSizeClass = calculateWindowSizeClass(this); when(windowSizeClass.widthSizeClass) { Compact -> ... },// Fixed portrait layout; crashes in split-screen; ignores fold state,Smooth multi-window,https://developer.android.com/develop/ui/compose/layouts/adaptive
Build,Gradle Configuration Cache,Android,High,gradle configuration cache build speed incremental compile,Gradle re-evaluating build scripts on every build wasting time,Enable configuration cache for 25%+ faster incremental builds,Rebuild configuration from scratch every time,// gradle.properties: org.gradle.configuration-cache=true,// No configuration cache; full rebuild of task graph every compilation,25% faster builds,https://docs.gradle.org/current/userguide/configuration_cache.html
Build,Gradle Build Scans,Android,Medium,gradle build scan analysis bottleneck task slow plugin,Not identifying slow tasks or plugins in build pipeline,Use build scans to identify and fix build bottlenecks; integrate into CI,Guess which tasks are slow; no build analysis,./gradlew assembleDebug --scan // generates detailed build report,// No build analysis; slow builds without knowing root cause,Identify slow tasks,https://scans.gradle.com/
Build,Multi-Module Build Parallelization,Android,High,module parallel build speed modularize gradle independent,Monolithic module prevents parallel compilation; full rebuild on any change,Modularize app into independent modules; enable parallel builds; use api vs implementation correctly,Single app module with everything; all code recompiles on any change,// gradle.properties: org.gradle.parallel=true; // feature modules with implementation deps only,// Single :app module; 500+ files recompile on any change; 5min build times,Parallel module builds,https://developer.android.com/topic/modularization
Rendering,90fps+ High Refresh Rate,Android,Medium,90fps 120fps refresh rate display frame budget rendering,Targeting only 60fps on 90/120Hz displays causing visible stutter,Detect and target device refresh rate; adjust animation frame budget accordingly,Hardcode 60fps assumptions; ignore high refresh rate displays,Surface.setFrameRate(90f FRAME_RATE_COMPATIBILITY_DEFAULT); // request 90fps,// Hardcoded 16ms frame budget; stutters on 90Hz (11ms budget) and 120Hz (8ms budget) displays,Match display refresh,https://developer.android.com/media/optimize/performance/frame-rate
Startup,iOS Instruments Time Profiler,iOS,High,instruments time profiler cpu trace bottleneck xcode performance,Not profiling app startup and runtime CPU usage with Instruments,Use Time Profiler in Instruments to identify CPU bottlenecks; profile on real device,Guess at performance issues; only profile on simulator,Product > Profile > Time Profiler; analyze heaviest stack trace; optimize top callers,// No profiling; assume performance is fine; ship without measurement,Identify hot paths,https://developer.apple.com/documentation/xcode/improving-your-app-s-performance
Startup,iOS MetricKit Performance Monitoring,iOS,High,metrickit mxmetricmanager diagnostics launch hang cpu disk,No production performance monitoring; issues only found through user complaints,Use MetricKit MXMetricManager to collect launch time CPU hangs disk I/O metrics in production,Rely only on crash reports; no performance telemetry,class AppMetrics: MXMetricManagerSubscriber { func didReceive(_ payloads: [MXMetricPayload]) { analyze(payloads) } },// No MetricKit; performance issues invisible until app store reviews,< 1s launch p95,https://developer.apple.com/documentation/metrickit
Startup,iOS Xcode Organizer Insights,iOS,Medium,xcode organizer energy disk launch metrics regression trends,Not reviewing Xcode Organizer for real-world performance regressions between releases,Check Organizer > Metrics weekly for launch time energy regressions across app versions,Ignore Xcode Organizer metrics; only look at crash logs,Window > Organizer > Metrics > Launch Time; compare across versions; set performance budgets,// Never check Organizer; regressions go unnoticed for months,Track version trends,https://developer.apple.com/documentation/xcode/analyzing-your-app-s-performance
Rendering,SwiftUI LazyVStack Optimization,iOS,High,swiftui lazyvstack lazylist scroll performance cell identity id,Using VStack for long lists causing all views to be created immediately,Use LazyVStack/LazyHStack with stable identifiers for large scrolling content,VStack with ForEach for 1000+ items; unstable IDs causing full redraws,LazyVStack { ForEach(items id: \.stableId) { item in ItemRow(item) } },VStack { ForEach(items) { item in ItemRow(item) } } // all 1000 items created at once,60fps scroll,https://developer.apple.com/documentation/swiftui/lazyvstack
Rendering,iOS Core Animation Layer Optimization,iOS,High,core animation calayer shadow cornerradius rasterize shouldrasterize offscreen,Shadows and corner radius together forcing expensive offscreen rendering passes,Set shadowPath explicitly; use shouldRasterize for static layers; separate shadow and corner views,cornerRadius + shadow without shadowPath; triggering offscreen render pass every frame,layer.shadowPath = UIBezierPath(roundedRect: bounds cornerRadius: 12).cgPath; layer.shouldRasterize = true,layer.cornerRadius = 12; layer.shadowOffset = CGSize(width: 0 height: 2) // offscreen render every frame,0 offscreen passes,https://developer.apple.com/documentation/quartzcore/calayer
Memory,Swift Structured Concurrency Performance,iOS,High,swift async await task taskgroup structured concurrency actor,Using GCD dispatch queues for concurrent work instead of modern structured concurrency,Use async/await Task TaskGroup and actors for safe concurrent code; automatic cancellation,Use DispatchQueue.global().async with manual completion handlers; risk of data races,func fetchAll() async throws { async let a = api.fetchA(); async let b = api.fetchB(); return try await (a b) },DispatchQueue.global().async { let result = try? api.fetch(); DispatchQueue.main.async { self.update(result) } },Fewer data races,https://developer.apple.com/documentation/swift/concurrency
Memory,iOS Combine Publisher Performance,iOS,Medium,combine publisher subscriber operator chain overhead memory,Long Combine chains with multiple operators creating unnecessary allocations and overhead,Keep Combine chains short; use share() for multicasted publishers; cancel subscriptions properly,Chain 10+ operators; no subscription management; multiple subscribers to expensive publisher,let shared = publisher.share(); sub1 = shared.sink { ... }; sub2 = shared.sink { ... },publisher.map{}.filter{}.map{}.debounce{}.map{}.flatMap{} // 10+ operators; expensive re-subscription,Efficient pipelines,https://developer.apple.com/documentation/combine
Rendering,iOS UICollectionView Compositional Layout,iOS,High,uicollectionview compositional layout diffable datasource prefetch,Custom layout subclasses performing poorly with complex calculations,Use UICollectionViewCompositionalLayout with DiffableDataSource for efficient complex layouts,Custom UICollectionViewLayout with manual calculations; reloadData on changes,var layout = UICollectionViewCompositionalLayout { section env in ... }; dataSource.apply(snapshot),collectionView.reloadData() // full reload; custom layout calculateLayoutAttributes O(n^2),Efficient layout,https://developer.apple.com/documentation/uikit/uicollectionviewcompositionallayout
Rendering,iOS Metal GPU Optimization,iOS,Medium,metal gpu compute shader graphics rendering pipeline acceleration,Not leveraging Metal for GPU-accelerated image processing and rendering,Use Metal for heavy image processing CIFilter compute; offload from CPU to GPU,Process large images on CPU; use Core Graphics for real-time filters,let commandBuffer = commandQueue.makeCommandBuffer(); let blitEncoder = commandBuffer.makeBlitCommandEncoder(),UIGraphicsBeginImageContext for real-time 4K image filter processing // CPU bound,GPU-accelerated,https://developer.apple.com/documentation/metal
Startup,iOS dyld Launch Closure Optimization,iOS,Medium,dyld launch closure dynamic linking framework startup load,Too many dynamic frameworks slowing app launch due to dyld loading overhead,Merge small frameworks; use static linking where possible; minimize dynamic framework count,50+ dynamic frameworks each adding 10-20ms to launch; no framework consolidation,// Static linking: prefer .a over .framework for internal libs; merge small frameworks,// 60 dynamic frameworks: 60 * 15ms = ~900ms just in dyld loading,< 20 dynamic libs,https://developer.apple.com/documentation/xcode/improving-app-launch-time
Rendering,iOS os_signpost Performance Intervals,iOS,Medium,os_signpost signpost pointsofinterest interval measure custom trace,Using print timestamps instead of structured performance measurement,Use os_signpost to create custom Instruments intervals; visible in Points of Interest,NSLog-based timing; no Instruments integration,let log = OSLog(subsystem: 'com.app' category: .pointsOfInterest); os_signpost(.begin log: log name: 'DataLoad'),print('Start: \(Date())') // not visible in Instruments; manual calculation,Visual profiling,https://developer.apple.com/documentation/os/logging/recording_performance_data
Memory,iOS Xcode Memory Graph Debugger,iOS,Medium,memory graph debugger xcode leak cycle reference retain allocation,Memory leaks detected too late; retain cycles invisible without tooling,Use Xcode Memory Graph Debugger to visualize retain cycles and leaked objects,Rely only on dealloc logs; miss subtle retain cycles,Debug > Debug Memory Graph; analyze purple leak icons; fix retain cycles,// No memory graph analysis; retain cycles grow memory until OOM crash,0 leaked objects,https://developer.apple.com/documentation/xcode/gathering-information-about-memory-use
Network,iOS Background URLSession,iOS,Medium,background urlsession download upload transfer discretionary resume,App killed during large downloads; transfers not resuming,Use background URLSession for large transfers; enable isDiscretionary for non-urgent,Default URLSession for 100MB+ downloads; killed when app suspends,let config = URLSessionConfiguration.background(withIdentifier: 'download'); config.isDiscretionary = true,URLSession.shared.dataTask(with: url) // killed when app suspends; download lost,Reliable transfers,https://developer.apple.com/documentation/foundation/urlsessionconfiguration/1407496-background
Battery,iOS Background Tasks Framework,iOS,Medium,bgtaskscheduler bgprocessingtask bgapprefreshtask background maintenance,Using background fetch API incorrectly wasting battery,Use BGTaskScheduler with processing and refresh tasks; set constraints,Continuous background polling; no system scheduling,BGTaskScheduler.shared.register(forTaskWithIdentifier: id queue: nil) { task in process(task as! BGProcessingTask) },Timer.scheduledTimer(withTimeInterval: 60) { _ in fetchData() } // runs constantly; drains battery,Respect battery,https://developer.apple.com/documentation/backgroundtasks
Bundle,iOS App Thinning and Bitcode,iOS,Medium,app thinning bitcode slicing on demand resources asset catalog odr,Shipping universal binary with all assets increasing download size,Use App Thinning with asset catalogs; on-demand resources for large assets,Include all asset variants in single download; 500MB app,// Asset Catalog with device-specific variants; On-Demand Resources for level data,// All 3x 2x 1x assets included; all game levels bundled; 500MB download,50%+ smaller,https://developer.apple.com/documentation/xcode/reducing-your-app-s-size
Rendering,Flutter Impeller Renderer,Flutter,High,impeller renderer skia gpu shader jank compilation first frame,Skia shader compilation causing first-frame jank on iOS and Android,Enable Impeller renderer for pre-compiled shaders; eliminates shader jank entirely,Use Skia with manual SkSL warmup; first-frame stutter on new screens,// flutter run --enable-impeller; // or: Info.plist FLTEnableImpeller = YES,// Skia: shader compilation jank on first render of each unique draw call,0 shader jank,https://docs.flutter.dev/perf/impeller
Rendering,Flutter DevTools Performance Overlay,Flutter,Medium,devtools performance overlay timeline trace rebuild widget,Not using Flutter DevTools to identify rendering and rebuild bottlenecks,Use DevTools Performance tab; enable performance overlay; analyze timeline,Print-based timing; no structured performance analysis,// flutter run --profile; DevTools > Performance > Timeline Events > identify slow frames,// No profiling; guess at performance issues; debug mode performance is misleading,< 16ms frames,https://docs.flutter.dev/tools/devtools/performance
Rendering,Flutter RepaintBoundary Isolation,Flutter,Medium,repaintboundary repaint isolate child widget rendering boundary,Child widget repaints causing entire subtree to re-render,Wrap frequently updating widgets in RepaintBoundary to isolate paint region,Allow animation widget to trigger repaint of entire parent tree,RepaintBoundary(child: AnimatedWidget()) // isolates repaint to this subtree only,Stack(children: [HeavyBackground() AnimatedOverlay()]) // background repaints on every frame,Isolated repaints,https://api.flutter.dev/flutter/widgets/RepaintBoundary-class.html
Memory,Flutter Isolate.run for Compute,Flutter,High,isolate compute run heavy json parse image process background thread,Heavy computation on main isolate causing UI freezes; compute() copies data,Use Isolate.run for CPU-intensive work; automatic cleanup; no manual isolate management,Parse large JSON or process images on main isolate; UI freezes during processing,final result = await Isolate.run(() => jsonDecode(bigString)); // background isolate,final result = jsonDecode(bigJsonString); // blocks main isolate; UI frozen,< 16ms main thread,https://dart.dev/language/isolates
Rendering,Flutter const Constructor Optimization,Flutter,Medium,const constructor widget build compile-time constant immutable rebuild,Widgets without const constructors rebuilding unnecessarily on parent setState,Use const constructors for static widgets; compiler optimizes away rebuilds,Omit const on static widgets; entire subtree rebuilds on any state change,const Text('Hello'); const SizedBox(height: 16); const Icon(Icons.star),Text('Hello'); SizedBox(height: 16); // recreated on every build call,Skip rebuilds,https://docs.flutter.dev/perf/best-practices#use-const-widgets-where-possible
Image,Flutter Image.network Caching,Flutter,Medium,image network cache cached_network_image placeholder memory disk,Loading network images without caching causing re-downloads and flickering,Use cached_network_image with placeholder; disk and memory caching,Image.network without cache; re-downloads on every rebuild,CachedNetworkImage(imageUrl: url placeholder: (ctx url) => CircularProgressIndicator()),Image.network(url) // no caching; re-downloads on scroll; flickers on rebuild,Cache hit > 90%,https://pub.dev/packages/cached_network_image
Rendering,Flutter ListView.builder vs Column,Flutter,High,listview builder column children scroll virtualize lazy create,Using Column or ListView with children for large lists; all items created at once,Use ListView.builder for lazy item creation; only visible items created,Column with hundreds of children; or ListView(children: items.map(...).toList()),ListView.builder(itemCount: items.length itemBuilder: (ctx i) => ItemWidget(items[i])),Column(children: items.map((i) => ItemWidget(i)).toList()) // creates all 1000 items,O(visible) items,https://docs.flutter.dev/cookbook/lists/long-lists
Build,Flutter Release Mode Profiling,Flutter,Medium,release profile mode debug performance measurement accurate timing,Measuring performance in debug mode with assertions and debug checks enabled,Always measure performance in profile or release mode; debug is 10x slower,Performance test in debug mode; false bottleneck identification,flutter run --profile // realistic timing with observatory access,flutter run // debug mode; 10x slower than release; misleading results,Accurate metrics,https://docs.flutter.dev/testing/build-modes
Rendering,Flutter Platform Channel Overhead,Flutter,Medium,platform channel method event overhead latency serialization native,Excessive platform channel calls between Dart and native causing latency,Batch platform channel calls; use Pigeon for type-safe generated code; minimize round-trips,Multiple small platform channel calls in hot loops; manual serialization,final result = await pigeon.batchOperation(items); // single call,for (item in items) { await channel.invokeMethod('process' item); } // 100 round-trips,< 5ms per call,https://docs.flutter.dev/platform-integration/platform-channels
Bundle,Flutter Deferred Components,Flutter,Medium,deferred component split download installTime playcore dynamic feature,Large initial download size with all features bundled,Use deferred components to split features for on-demand download,Bundle all features including rarely-used ones in initial install,@pragma('vm:deferred-import') import 'heavy_feature.dart' deferred as heavy; heavy.loadLibrary(),// All features in main binary: 80MB initial download,30% smaller initial,https://docs.flutter.dev/perf/deferred-components
Startup,Flutter Engine Prewarming,Flutter,Medium,flutter engine prewarm preload startup initialization cache,Flutter engine cold start adding 300-500ms to first screen,Pre-warm Flutter engine in native code before showing Flutter screen,Create FlutterEngine only when Flutter screen needed,// iOS: flutterEngine = FlutterEngine(); flutterEngine.run() // in AppDelegate,// Create engine in viewDidLoad; 500ms delay before Flutter content appears,< 300ms engine,https://docs.flutter.dev/add-to-app/performance
Memory,Flutter Memory Leak Prevention,Flutter,High,memory leak dispose controller stream subscription timer cancel,Controllers streams timers not disposed causing memory leaks,Always dispose controllers cancel subscriptions and timers in dispose(),Skip dispose; rely on garbage collection; controllers live forever,@override void dispose() { _controller.dispose(); _subscription.cancel(); _timer.cancel(); super.dispose(); },// No dispose() override; StreamController and AnimationController leak memory,0 leaked controllers,https://docs.flutter.dev/testing/common-errors
List,React Native FlashList,React Native,High,flashlist flash list shopify performance flatlist alternative fast scroll,FlatList rendering slowly with complex items; dropping frames on fast scroll,Use FlashList from Shopify for 5x faster list rendering; estimatedItemSize required,FlatList with complex renderItem; no getItemLayout; slow scroll performance,<FlashList data={items} renderItem={renderItem} estimatedItemSize={80} />,<FlatList data={items} renderItem={({item}) => <ComplexItem item={item} />} /> // slow with 1000+ items,60fps scroll,https://shopify.github.io/flash-list/
Animation,React Native Reanimated Worklets,React Native,High,reanimated worklet ui thread animation gesture handler shared value,Animations running on JS thread causing dropped frames and jank,Use Reanimated 3 with worklets running on UI thread; shared values for 60fps,Animated API with useNativeDriver:false; JS thread animations,const offset = useSharedValue(0); const style = useAnimatedStyle(() => ({ transform: [{ translateX: offset.value }] })),Animated.timing(animValue { toValue: 1 useNativeDriver: false }).start() // JS thread animation,60fps animation,https://docs.swmansion.com/react-native-reanimated/
Rendering,React Native New Architecture JSI,React Native,High,new architecture jsi turbo modules fabric synchronous native bridge,Old Bridge serializing all JS-Native communication through JSON adding latency,Enable New Architecture with JSI for synchronous native access; Fabric for concurrent rendering,Old Bridge with async JSON serialization for every native call,// newArchEnabled=true in gradle.properties; TurboModules with direct C++ binding,// Old Bridge: JSON.stringify -> Java -> JSON.parse for every native call; 5-10ms overhead,< 1ms native call,https://reactnative.dev/docs/the-new-architecture/landing-page
Rendering,React Native InteractionManager,React Native,Medium,interactionmanager deferred task animation complete schedule heavy,Heavy work running during animations causing dropped frames,Defer expensive work until after animations complete using InteractionManager,Run data processing during navigation animation; visible jank,InteractionManager.runAfterInteractions(() => { processData(); loadImages(); }),navigation.navigate('Detail'); processData(); // runs during transition animation; jank,Smooth transitions,https://reactnative.dev/docs/interactionmanager
Memory,React Native Hermes GC Tuning,React Native,Medium,hermes gc garbage collection memory threshold pause tuning,Hermes garbage collection pauses causing visible UI stutters,Tune Hermes GC thresholds; reduce object allocation in hot paths; avoid large closures,Default GC settings with excessive allocations; visible GC pauses during scroll,// Reduce allocations: reuse objects; avoid creating objects in renderItem; pre-allocate arrays,// new Array(1000).fill(0).map(() => ({ key: Math.random() })) // in renderItem; GC thrash,< 5ms GC pause,https://reactnative.dev/docs/hermes
Rendering,React Native React.memo Optimization,React Native,Medium,react memo usememo usecallback rerender pure component shallow,Components re-rendering unnecessarily on parent state changes,Use React.memo useMemo useCallback to prevent unnecessary re-renders,No memoization; entire list re-renders on any state change,const Item = React.memo(({item}) => <View>{item.name}</View>); const handler = useCallback(() => {} []),const Item = ({item}) => <View>{item.name}</View>; // re-renders on every parent state change,Minimal re-renders,https://react.dev/reference/react/memo
Bundle,React Native RAM Bundle,React Native,Medium,ram bundle random access module inline requires lazy loading startup,Loading entire JS bundle on startup increasing Time to Interactive,Use RAM bundle format with inline requires for lazy module loading,Single monolithic bundle loaded entirely on startup,// metro.config.js: serializer: { customSerializer: createModuleIdFactory }; require('HeavyModule') inline,// require('AllModules') at top level; 5MB bundle parsed on startup; 3s TTI,< 2s TTI,https://reactnative.dev/docs/ram-bundles-inline-requires
Rendering,React Native Image Performance,React Native,Medium,image performance fast-image cache priority preload resize,Default Image component re-downloading without caching; slow loading,Use react-native-fast-image with priority caching resize,Default Image component; no caching strategy; re-downloads on scroll,<FastImage source={{uri priority: FastImage.priority.high}} resizeMode='cover' />,<Image source={{uri: url}} /> // no caching; re-downloads; no priority control,Cache hit > 95%,https://github.com/DylanVann/react-native-fast-image
Startup,React Native Lazy Screen Loading,React Native,Medium,lazy screen loading react.lazy suspense navigation stack tab dynamic import,All screens imported eagerly increasing startup bundle parse time,Use React.lazy with Suspense for screen-level code splitting,Import all screens at top level; parsed on startup even if never visited,const Profile = React.lazy(() => import('./screens/Profile')); <Suspense fallback={<Loading/>}><Profile/></Suspense>,import Profile from './screens/Profile'; // parsed on startup; 500ms wasted if never visited,< 1s startup,https://react.dev/reference/react/lazy
Build,React Native Metro Bundle Optimization,React Native,Medium,metro bundler config tree shaking minify source map optimization,Unoptimized Metro bundler config shipping larger bundles than necessary,Configure Metro for tree shaking minification; use RAM bundles for production,Default Metro config; no optimization; debug source maps in production,// metro.config.js: transformer: { minifierPath: 'metro-minify-terser' minifierConfig: { compress: { drop_console: true } } },// Default metro config; console.log in production; no tree shaking; large bundle,30% smaller bundle,https://metrobundler.dev/docs/configuration
Network,Firebase Performance Monitoring,All,Medium,firebase performance monitoring trace http metric production latency,No production performance monitoring; issues only found through complaints,Use Firebase Performance SDK for automatic HTTP tracing and custom traces,No production monitoring; rely on development profiling only,val trace = Firebase.performance.newTrace('data_load'); trace.start(); ... trace.stop(),// No production monitoring; performance regressions invisible,Track prod metrics,https://firebase.google.com/docs/perf-mon
Network,Request Timeout Configuration,All,Medium,timeout connect read write network request retry backoff,No timeouts on network requests; app hangs when server unresponsive,Set connect/read/write timeouts; implement retry with exponential backoff,No timeout configuration; infinite wait on slow connections,OkHttpClient.Builder().connectTimeout(10 SECONDS).readTimeout(30 SECONDS).build(),OkHttpClient() // default no timeout; hangs forever on slow connection,< 30s total wait,https://square.github.io/okhttp/features/connections/
Network,Response Pagination,All,High,pagination infinite scroll cursor offset limit page network bandwidth,Loading all data at once causing slow load times and high memory usage,Implement cursor-based or offset pagination; load 20-50 items per page,Load all 10000 records at once; OOM on large datasets,api.getItems(cursor = lastId limit = 20); // cursor-based pagination,api.getAllItems() // returns 10000 records; 5s load; 200MB memory,< 500ms per page,
Memory,JSON Parsing Optimization,All,Medium,json parse serialization moshi kotlinx gson swift codable performance,Using reflection-based JSON parsing adding 2-5x overhead,Use code-gen serialization: kotlinx.serialization Moshi codegen Swift Codable,Gson with reflection; manual JSONObject parsing; no code generation,@Serializable data class User(val id: Int val name: String); Json.decodeFromString<User>(json),JSONObject(json).getString('name') // manual parsing; no type safety; 3x slower,2-5x faster parse,https://github.com/Kotlin/kotlinx.serialization
Memory,Database Query Optimization,All,High,database query index room sqlite core data fetch optimize n+1,Unindexed queries and N+1 problems causing slow data access,Add indexes on queried columns; use JOIN instead of N+1; limit result sets,No indexes; SELECT * queries; N+1 queries in loops,@Query('SELECT * FROM items WHERE category = :cat ORDER BY date DESC LIMIT 20'); // indexed column,@Query('SELECT * FROM items'); // no WHERE; loads all rows; no index on lookup column,< 50ms queries,https://developer.android.com/training/data-storage/room/accessing-data
Memory,Caching Strategy Implementation,All,High,cache lru disk memory strategy ttl invalidation stale-while-revalidate,No caching strategy causing duplicate network requests and slow UX,Implement multi-layer caching: memory (LRU) + disk + network with TTL,No caching; every screen visit refetches from server,val cache = LruCache<String Result>(maxSize = 50); fun get(key: String) = cache.get(key) ?: fetchAndCache(key),// Every screen load: api.fetchData() // no caching; 500ms wait even for unchanged data,> 80% cache hit,
Battery,Thermal Throttling Awareness,All,Medium,thermal throttling cpu temperature performance degradation battery heat,App ignoring device thermal state causing user discomfort and CPU throttling,Monitor thermal state; reduce work intensity when device is hot,Ignore thermal warnings; continue heavy processing when device overheating,ProcessInfo.processInfo.thermalState; PowerManager.THERMAL_STATUS; reduce quality on warning,// Continuous max-CPU processing; device burns hot; OS throttles CPU to 50%,Adapt to thermals,https://developer.android.com/reference/android/os/PowerManager#getCurrentThermalStatus()
Network,Offline-First Architecture,All,High,offline first cache local database sync queue network unavailable,App unusable without network; crashes or shows empty screens offline,Store data locally; queue mutations; sync when online; show cached data immediately,Require network for all features; show error on no connection,val data = localDb.getAll(); launch { syncWithServer(pendingChanges) },if (!isOnline) { showError('No internet') } // unusable offline,Works offline,
Rendering,Pull-to-Refresh Performance,All,Medium,pull refresh swipe scroll indicator loading debounce throttle,Pull-to-refresh triggering multiple rapid API calls; no debounce,Debounce refresh action; show loading indicator; prevent concurrent refreshes,Allow rapid pull-to-refresh; no debounce; multiple concurrent fetches,var isRefreshing by remember { mutableStateOf(false) }; if (!isRefreshing) { isRefreshing = true; refresh() },// Every pull triggers api.fetch() immediately; 5 rapid pulls = 5 concurrent requests,1 concurrent refresh,
Memory,Object Pool Pattern,All,Medium,object pool reuse allocation gc garbage collection recycle bitmap,Frequent allocation and deallocation of expensive objects causing GC pressure,Reuse expensive objects via pool pattern; recycle bitmaps and buffers,Create new Bitmap/Buffer for every operation; high GC pressure,val pool = BitmapPool(maxSize = 10); val bitmap = pool.acquire(w h config); pool.release(bitmap),val bitmap = Bitmap.createBitmap(w h config) // every frame; massive GC pressure; 50ms pauses,< 5ms GC pause,
Network,WebSocket Connection Management,All,Medium,websocket connection keepalive reconnect heartbeat timeout backoff,WebSocket connections dropping silently; no reconnection strategy,Implement heartbeat ping/pong; automatic reconnection with backoff; connection state monitoring,Open WebSocket and assume it stays connected; no health check,val ws = OkHttpClient().newWebSocket(request webSocketListener); // with ping interval and reconnect,WebSocket(url) // no heartbeat; no reconnect; silently dies after 30s idle,99.9% uptime,
Rendering,Adaptive Refresh Rate,All,Medium,refresh rate display 60fps 90fps 120fps adaptive variable vrr promotion,Rendering at fixed 60fps when display supports 90/120Hz; wasting smoothness potential,Detect and adapt to display refresh rate; use variable refresh rate APIs,Hardcode 60fps frame budget everywhere; ignore display capabilities,view.display?.refreshRate // adapt animation frame budget; requestHighRefreshRate where beneficial,// Assume 16.6ms frame budget everywhere; stutter on 120Hz display expecting 8.3ms,Match display Hz,
Build,CI Performance Regression Testing,All,High,ci continuous integration performance regression benchmark test baseline,Performance regressions shipping to production without detection,Run benchmarks in CI; compare against baseline; fail build on regression,No automated performance testing; manual spot-checks before release,// CI: run macrobenchmark; compare p50 p90 against baseline; alert on > 10% regression,// No CI benchmarks; performance regression discovered by users weeks later,Catch regressions,https://developer.android.com/topic/performance/benchmarking/macrobenchmark-overview
Startup,Disk I/O Optimization,All,Medium,disk io read write storage file sequential random buffer,Random disk I/O patterns causing 10x slower reads than sequential,Use buffered I/O; prefer sequential reads; batch writes; use memory-mapped files for large data,Unbuffered random I/O; many small writes; no batching,BufferedReader(FileReader(path) 8192); // buffered sequential read,FileReader(path).read() // unbuffered; char-by-char; 100x slower than buffered,Buffered I/O,
Build,Version Catalog Dependency Management,All,Medium,version catalog toml dependency management centralized update gradle,Dependency versions scattered across multiple build.gradle files,Use Gradle version catalog (libs.versions.toml) for centralized dependency management,Hardcode versions in each module; inconsistent versions; update nightmare,// libs.versions.toml: [versions] compose = '1.7.0'; [libraries] compose-ui = { module = 'compose.ui' version.ref = 'compose' },// build.gradle: implementation 'androidx.compose.ui:ui:1.5.0' // different version in each module,Single source of truth,https://developer.android.com/build/migrate-to-catalogs
