Category,Threat,Platform,Severity,Keywords,Description,Mitigation,Code Good,Code Bad,OWASP Ref,Reference URL
Platform,Broadcast Receiver Security,Android,High,"broadcast receiver exported implicit permission local broadcast ordered",Exported BroadcastReceiver intercepting or spoofing broadcasts,Use LocalBroadcastManager or custom permissions; set exported=false; validate sender,LocalBroadcastManager.sendBroadcast(); custom permission android:protectionLevel=signature,Exported receiver with implicit intent filter; no sender validation; sensitive data in broadcast,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/security-tips#IPC
Platform,Screen Recording Prevention,All,High,"screen recording capture mediaprojection prevent sensitive banking financial",Sensitive screens recordable via screen capture or MediaProjection API,Use FLAG_SECURE on windows with sensitive data; detect MediaProjection; overlay on app switch,window.setFlags(FLAG_SECURE FLAG_SECURE); detect active MediaProjection; blur on background,Sensitive banking screens fully recordable; account balance visible in screen recordings,M2 - Insecure Data Storage,
Platform,Third-Party Keyboard Data Leak,All,High,"keyboard third party input leak password sensitive autocomplete custom secure",Third-party keyboards capturing sensitive input (passwords; credit cards; SSN),Disable autocomplete on sensitive fields; detect third-party keyboard; use secure in-app keyboard for banking,android:inputType=textPassword|textNoSuggestions; textContentType=.oneTimeCode; detect IME package,Sensitive fields with autocomplete enabled; keystrokes sent to untrusted keyboard SDK,M2 - Insecure Data Storage,https://www.guardsquare.com/mobile-app-security-research-center/malware/secure-in-app-keyboard
Platform,Notification Data Exposure,All,Medium,"notification sensitive data push content visible lockscreen preview",Sensitive data displayed in notifications visible on lock screen,Use VISIBILITY_SECRET for sensitive notifications; redact content on lock screen; encrypt payload,notification.visibility = VISIBILITY_SECRET; redact body on lock screen; decrypt payload in-app,Show full account balance transaction details OTP in notification visible on lock screen,M2 - Insecure Data Storage,
Code,Dynamic Code Loading Security,Android,Critical,"dynamic code loading dex classloader plugin apk dexclassloader",Dynamically loading unverified DEX/APK code allowing code injection,Verify integrity of loaded code; mark files read-only (Android 14+); load from trusted sources only,Verify SHA-256 of DEX before loading; setReadOnly(); load from app internal storage only,DexClassLoader loading unverified APK from external storage or network; writable DEX files,M8 - Code Tampering,https://developer.android.com/privacy-and-security/risks/dynamic-code-loading
Data Storage,Firebase Security Rules,All,Critical,"firebase firestore realtime database security rules open read write",Firebase database with open read/write rules allowing unauthorized access,Write strict security rules; authenticate all requests; validate data shape and ownership,rules: match /users/{uid} { allow read write: if request.auth.uid == uid; },allow read write: if true; OR no security rules configured,M2 - Insecure Data Storage,https://firebase.google.com/docs/rules
Data Storage,Push Notification Token Security,All,Medium,"push notification token fcm apns registration device firebase messaging",FCM/APNS push tokens stored insecurely or exposed to unauthorized parties,Store push tokens in EncryptedSharedPreferences/Keychain; send to backend over HTTPS; rotate on logout,Store FCM token in EncryptedSharedPreferences; invalidate on logout; refresh periodically,Store FCM token in plaintext SharedPreferences; never invalidate on logout,M2 - Insecure Data Storage,
Network,Mutual TLS Client Certificate,All,High,"mutual tls mtls client certificate two-way authentication pinning",Server-only TLS allows any client to connect; no client identity verification,Implement mutual TLS with client certificates for high-security APIs (banking; healthcare),Configure OkHttp SSLContext with client KeyStore; server validates client cert; cert rotation,Server-only TLS; any HTTP client can call sensitive APIs without client identity proof,M3 - Insecure Communication,
Network,Encrypted Network Cache,All,Medium,"network cache okhttp response sensitive data encrypted http cache",HTTP response cache storing sensitive API data in plaintext on disk,Encrypt cache or disable caching for sensitive endpoints; use Cache-Control no-store,Set Cache-Control: no-store for sensitive APIs; encrypt OkHttp cache directory; clear on logout,Sensitive API responses (user profile; financial data) cached in plaintext on disk,M2 - Insecure Data Storage,
Platform,Runtime Permission Minimization,All,High,"runtime permission dangerous minimal camera location microphone storage",Requesting excessive permissions beyond app functionality,Request minimum permissions; explain rationale; use permission-less alternatives when possible,Request ACCESS_FINE_LOCATION only when needed; use Photo Picker instead of READ_MEDIA_IMAGES,Request all permissions at startup; CAMERA + LOCATION + CONTACTS + STORAGE for a calculator app,M1 - Improper Platform Usage,https://developer.android.com/training/permissions/requesting
Logging,Secure Logging Framework,Android,High,"logging timber release tree strip log sensitive production pii",Using Android Log.d/Log.v in production exposing sensitive data in logcat,Use Timber with release tree that strips verbose/debug; never log PII/tokens/passwords,Timber.plant(ReleaseTree()); ReleaseTree only logs WARN+ level; no PII in any log level,Log.d(TAG 'User: $email Token: $jwt Password: $pass') readable in logcat by any app,M10 - Extraneous Functionality,
Data Storage,Secure SharedPreferences Migration,Android,Medium,"sharedpreferences migration encrypted datastore security upgrade",Migrating from plain SharedPreferences to EncryptedSharedPreferences without data loss,Implement migration strategy; read from old prefs; write to encrypted; delete old; handle corruption,Read old SharedPreferences; copy to EncryptedSharedPreferences; delete old file; add corruption handler,Plain SharedPreferences with tokens alongside EncryptedSharedPreferences; old data never deleted,M2 - Insecure Data Storage,https://developer.android.com/reference/androidx/security/crypto/EncryptedSharedPreferences
Platform,App Bundle Signing Security,Android,High,"app bundle aab signing play app signing key upgrade rotation",APK signed with weak key or signing key not enrolled in Play App Signing,Enroll in Play App Signing; use key upgrade for stronger algorithm; enable v3+ signature scheme,Enroll in Google Play App Signing; upgrade to ECDSA P-256; enable APK signature scheme v3,Self-signed with 1024-bit RSA key; not enrolled in Play App Signing; no key rotation plan,M8 - Code Tampering,https://developer.android.com/studio/publish/app-signing
Privacy,Geolocation Data Protection,All,High,"geolocation location privacy background foreground precise approximate coarse",Collecting precise location when approximate suffices; tracking in background,Use ACCESS_COARSE_LOCATION when precise not needed; explain background usage; minimize retention,Request ACCESS_COARSE_LOCATION for weather; ACCESS_FINE_LOCATION only for navigation; no background,Request ACCESS_FINE_LOCATION + ACCESS_BACKGROUND_LOCATION for app that only shows local weather,M6 - Privacy Violation,https://developer.android.com/training/location
Privacy,Camera Microphone Indicators,All,Medium,"camera microphone indicator permission privacy recording sensor access",App accessing camera/microphone without clear user awareness,Release camera/microphone immediately after use; respect indicators; handle denial gracefully,Release camera in onPause; show in-app recording indicator; graceful fallback if denied,Hold camera/microphone indefinitely in background; no user indicator of active recording,M6 - Privacy Violation,
Privacy,AI LLM Data Leakage,All,High,"ai llm chatgpt gemini data leakage prompt injection sensitive pii third party",Sending sensitive user data (PII; credentials; health data) to third-party AI/LLM services,Sanitize data before AI calls; use on-device models for sensitive data; obtain consent; audit prompts,Strip PII before API call; use on-device ML for sensitive features; user consent for AI features,Send raw user messages health records financial data directly to third-party AI API,M6 - Privacy Violation,
Code,Secure WebView File Access,Android,High,"webview file access javascript local storage file:// scheme disable",WebView with file:// access enabled allowing local file exfiltration,Disable file access in WebView; restrict JavaScript; use allowlist for URLs,setAllowFileAccess(false); setAllowContentAccess(false); URL allowlist; disable JS if not needed,setAllowFileAccess(true); setAllowFileAccessFromFileURLs(true); load untrusted content,M1 - Improper Platform Usage,https://developer.android.com/develop/ui/views/layout/webapps/best-practices
Code,Secure Native Library Loading,Android,High,"native library loading so injection preload dlopen system.loadlibrary path",Loading native .so from untrusted or writable paths allowing library injection,Load .so only from app's private lib directory; verify library integrity before loading,System.loadLibrary('native-lib') from default app lib path; verify .so hash at startup,Load .so from sdcard or world-writable directory; no integrity check on loaded library,M8 - Code Tampering,
Authentication,Credential Stuffing Protection,All,High,"credential stuffing brute force rate limit captcha account lockout login",No protection against automated credential stuffing and brute force attacks,Implement rate limiting; CAPTCHA after failures; account lockout; device fingerprinting,Rate limit 5 attempts/min; CAPTCHA after 3 failures; progressive lockout; notify user of attempts,No rate limiting; unlimited login attempts; no CAPTCHA; no account lockout policy,M4 - Insecure Authentication,
Authentication,Secure Password Reset,All,High,"password reset token expiry email deep link otp verification",Insecure password reset flow allowing account takeover,Use time-limited tokens (15 min); single-use; validate via deep link + OTP; require identity proof,Time-limited single-use token; email + OTP verification; invalidate all sessions on reset,Password reset link never expires; reusable; no additional verification; no session invalidation,M4 - Insecure Authentication,
Cryptography,Keystore StrongBox vs TEE,Android,High,"keystore strongbox tee hardware backed secure element titan chip",Not using hardware-backed key storage; keys stored in software-only keystore,Prefer StrongBox when available; fall back to TEE; verify security level with getSecurityLevel(),Check FEATURE_STRONGBOX_KEYSTORE; setIsStrongBoxBacked(true); fallback to TEE; verify hardware backing,Software-only keystore; keys extractable on rooted device; no hardware security verification,M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/keystore
Cryptography,Biometric-Bound Keystore Keys,Android,High,"biometric bound key keystore authentication required cryptoobject unlock",Keystore keys usable without biometric authentication for sensitive operations,Bind keys to biometric auth; require CryptoObject in BiometricPrompt; set validity duration,setUserAuthenticationRequired(true); setUserAuthenticationParameters(0 AUTH_BIOMETRIC_STRONG); CryptoObject,Keys accessible without authentication; no biometric binding for encryption/decryption operations,M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/keystore
Cryptography,Keystore Key Invalidation Handling,Android,Medium,"keystore key invalidation biometric enrollment change lockscreen fingerprint",Keys invalidated after biometric enrollment change causing app crashes or data loss,Handle KeyPermanentlyInvalidatedException; re-enroll keys gracefully; backup strategy for key loss,Catch KeyPermanentlyInvalidatedException; prompt user to re-authenticate; re-generate key; migrate data,App crashes on InvalidKeyException after user adds new fingerprint; no recovery mechanism,M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/keystore
Data Storage,Room Database Encryption,Android,High,"room database encryption sqlcipher sqlite encrypted saferoom",Room database storing sensitive data without encryption,Encrypt Room database with SQLCipher via SupportFactory; use hardware-backed key from Keystore,Room.databaseBuilder().openHelperFactory(SupportFactory(sqlCipherKey)); key from Android Keystore,Room.databaseBuilder(ctx AppDatabase::class.java 'db').build() unencrypted; data readable with sqlite3,M2 - Insecure Data Storage,https://www.zetetic.net/sqlcipher/sqlcipher-for-android/
Data Storage,DataStore Encryption,Android,Medium,"datastore preferences proto encryption sensitive secure storage jetpack",Jetpack DataStore storing sensitive preferences without encryption,Encrypt DataStore with Tink EncryptedFile or custom Serializer with encryption; key from Keystore,Create encrypted DataStore with Tink StreamingAead; key stored in Android Keystore,DataStore<Preferences> storing auth tokens user PII without encryption; readable on rooted device,M2 - Insecure Data Storage,https://developer.android.com/topic/libraries/architecture/datastore
Data Storage,Scoped Storage Security,Android,High,"scoped storage external internal mediastore saf android 10 11 file access",Accessing external storage without scoped storage restrictions (legacy mode),Use Scoped Storage; access own app-specific directory; use MediaStore for shared media; SAF for user files,context.filesDir for private; MediaStore for images/videos; SAF Intent for user documents,requestLegacyExternalStorage=true; READ_EXTERNAL_STORAGE for all files; access other apps' data,M2 - Insecure Data Storage,https://developer.android.com/training/data-storage
Platform,Photo Picker Permissionless Access,Android,Medium,"photo picker android 13 14 media permission read_media_images visual",Using READ_MEDIA_IMAGES/READ_MEDIA_VIDEO when Photo Picker suffices,Use Android Photo Picker for media selection; no permissions needed; respects user privacy,PickVisualMedia() contract; ActivityResultContracts.PickVisualMedia(); no permission declaration,Request READ_MEDIA_IMAGES to browse all photos; access entire photo library when only need one image,M6 - Privacy Violation,https://developer.android.com/training/data-storage/shared/photopicker
Authentication,Credential Manager Integration,Android,High,"credential manager passkey password sign-in google autofill jetpack",Using deprecated authentication APIs or custom login without Credential Manager,Migrate to Credential Manager API for passkeys; passwords; federated sign-in; unified auth flow,CredentialManager.create(context); GetCredentialRequest with passkey + password options; handle result,Custom login with SharedPreferences password storage; no passkey support; deprecated AccountManager,M4 - Insecure Authentication,https://developer.android.com/identity/sign-in/credential-manager
Platform,Android 16 Safer Intents,Android,Medium,"android 16 safer intents intent action null filter strict mode",Android 16 enforces non-null Intent actions and stricter Intent filter matching,Ensure all Intents have explicit action; match Intent filters precisely; handle StrictMode violations,Intent(context TargetActivity::class.java).setAction('com.app.ACTION'); explicit component + action,Intent() with null action; relies on implicit resolution; crashes on Android 16 strict enforcement,M1 - Improper Platform Usage,https://developer.android.com/about/versions/16/behavior-changes-16
Platform,Package Visibility Android 11,Android,Medium,"package visibility queries android 11 package manager installed apps",App enumerating all installed apps leaking user privacy,Declare specific package queries in manifest; use intent-based queries; minimize app enumeration,<queries><package android:name='com.specific.app'/></queries>; intent-based discovery,<uses-permission android:name='QUERY_ALL_PACKAGES'/>; enumerate all user installed apps,M6 - Privacy Violation,https://developer.android.com/training/package-visibility
Supply Chain,Gradle Dependency Verification,Android,Critical,"gradle dependency verification checksum signature metadata xml supply chain",No verification that Gradle dependencies are authentic and untampered,Enable dependency verification with checksums and/or PGP signatures in verification-metadata.xml,gradle/verification-metadata.xml with SHA-256 checksums; PGP signature verification; --write-verification-metadata,No verification-metadata.xml; dependencies downloaded without integrity checks; vulnerable to supply chain,M6 - Insufficient Supply Chain Security,https://developer.android.com/build/dependency-verification
Supply Chain,Gradle Dependency Locking,Android,High,"gradle dependency locking lockfile reproducible build version pin",Dynamic dependency versions (1.+ or latest) causing non-reproducible builds,Enable dependency locking; commit lockfiles to VCS; block builds with unlocked new versions,dependencyLocking { lockAllConfigurations() }; commit gradle.lockfile; CI fails on new unlocked deps,implementation('com.lib:lib:1.+') resolves different versions; no lockfile; non-reproducible builds,M6 - Insufficient Supply Chain Security,https://docs.gradle.org/current/userguide/dependency_locking.html
Supply Chain,CI/CD Signing Security,Android,Critical,"ci cd signing keystore jks release build github actions secrets pipeline",Release signing keystore committed to repository or hardcoded in CI scripts,Store keystore in CI secrets (GitHub Actions secrets); inject at build time; never commit to repo,GitHub Actions: secrets.KEYSTORE_BASE64 decoded at build time; signingConfigs from environment variables,Keystore file committed to git; password in build.gradle.kts; visible in CI logs,M2 - Insecure Data Storage,
Platform,Manifest Component Audit,Android,High,"manifest exported activity service receiver provider component audit android 12",Exported components accessible to malicious apps; no systematic audit,Audit all exported components; set exported=false by default; require permissions for necessary exports,Lint check for exported components; android:exported=false default; signature permission on exports,Multiple activities/services exported=true without permissions; accessible to any installed app,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/risks/access-control-to-exported-components
Platform,Service Binding Security,Android,High,"service bound started exported permission aidl binder ipc",Exported Service accessible without permission allowing unauthorized binding,Require custom signature-permission for bound services; validate caller identity; restrict AIDL exposure,android:permission='com.app.BIND_SERVICE' protectionLevel=signature; checkCallingPermission() in onBind,Exported service without permission; any app can bind; AIDL exposes internal methods,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/security-tips#IPC
Platform,Signature Permission Protection,Android,Medium,"signature permission protectionlevel custom permission app component",Using normal-level custom permissions that any app can request,Use signature-level permissions for inter-app communication between your own apps,<permission android:name='com.app.PERMISSION' android:protectionLevel='signature'/>,<permission android:protectionLevel='normal'/>; any third-party app can request and obtain,M1 - Improper Platform Usage,https://developer.android.com/privacy-and-security/security-tips
Network,OkHttp Certificate Pinning Setup,Android,High,"okhttp certificate pinning certificatepinner sha256 hash backup pin",No certificate pinning on OkHttp client allowing MITM with rogue CA,Configure CertificatePinner with SHA-256 public key hashes; include backup pins; handle pin failure,CertificatePinner.Builder().add('api.app.com' 'sha256/AAAA...').add('api.app.com' 'sha256/BBBB...backup'),OkHttpClient() without CertificatePinner; trusts any valid certificate from any CA,M3 - Insecure Communication,https://square.github.io/okhttp/features/https/
Network,Network Security Config Advanced,Android,High,"network security config xml domain pin cleartextTrafficPermitted debug override",Missing or incomplete network_security_config.xml allowing cleartext or missing pins,Configure comprehensive network_security_config.xml with domain pins; disable cleartext; debug overrides,<base-config cleartextTrafficPermitted='false'/>; <pin-set> per domain; <debug-overrides> for dev only,No network_security_config.xml; android:usesCleartextTraffic='true'; no certificate pinning,M3 - Insecure Communication,https://developer.android.com/privacy-and-security/security-config
Data Storage,WorkManager Data Security,Android,Medium,"workmanager data worker background sensitive input output",Sensitive data passed in WorkManager Data objects persisted to database,Minimize sensitive data in Worker inputs; encrypt sensitive payloads; clear outputs after consumption,Pass encrypted reference/ID in Data; Worker fetches sensitive data from EncryptedSharedPreferences,workDataOf('token' to jwt 'password' to pass) persisted in WorkManager internal database,M2 - Insecure Data Storage,
Code,Compose State Sensitive Data,Android,Medium,"compose state remember sensitive password token mutablestateof recomposition",Sensitive data held in Compose remember{} state visible during recomposition debugging,Minimize sensitive data in Compose state; clear on disposal; use PasswordVisualTransformation,PasswordVisualTransformation(); clear password on navigation; disposable state for tokens,remember { mutableStateOf(plainTextPassword) } visible in Layout Inspector and recomposition logs,M2 - Insecure Data Storage,
Code,Navigation Compose Argument Validation,Android,High,"navigation compose deep link argument validation injection type safe serializable",Unvalidated deep link arguments in Navigation Compose allowing injection,Use @Serializable type-safe routes; validate all NavArgs; reject malformed deep link parameters,@Serializable data class Route(val id: Int); validate id range; reject negative or out-of-bounds,navArgument('id') { type = NavType.StringType } without validation; SQL injection via deep link,M1 - Improper Platform Usage,https://developer.android.com/guide/navigation/design/type-safety
Platform,StrictMode Security Detection,Android,Medium,"strictmode disk network leak closable resource main thread detection",Not using StrictMode to detect security-relevant violations during development,Enable StrictMode in debug builds to detect disk/network on main thread; unclosed resources; leaks,StrictMode.setThreadPolicy(detectAll().penaltyLog()); StrictMode.setVmPolicy(detectLeakedClosableObjects()),No StrictMode; disk writes on main thread; leaked database cursors; cleartext network undetected,M7 - Client Code Quality,https://developer.android.com/reference/android/os/StrictMode
Platform,Installer Verification,Android,Medium,"installer verification play store sideload package source install",App not verifying installation source allowing sideloaded modified copies,Verify installer package name at runtime; restrict features for non-Play Store installs,packageManager.getInstallSourceInfo(packageName).installingPackageName == 'com.android.vending',No installer check; sideloaded modified APK gets full functionality and server access,M8 - Code Tampering,
Platform,BLE Bluetooth Security,Android,High,"bluetooth ble low energy pairing bonding encryption gatt security",Insecure BLE communication allowing eavesdropping and MITM on sensitive data,Use BLE secure pairing (LE Secure Connections); encrypt GATT characteristics; validate bonding state,BluetoothDevice.createBond(); encrypted GATT read/write; require BLUETOOTH_CONNECT permission,Unencrypted BLE GATT communication; no pairing required; sensitive health data sent in cleartext,M3 - Insecure Communication,https://developer.android.com/develop/connectivity/bluetooth
Platform,NFC Security Best Practices,Android,Medium,"nfc hce host card emulation payment secure element ndef tag",Insecure NFC implementation for payments or sensitive data exchange,Use Secure Element for payment HCE; validate NDEF records; restrict NFC reader mode; encrypt payloads,HostApduService with Secure Element; validate NDEF record types; encrypt sensitive NFC payloads,HCE without Secure Element for payments; unvalidated NDEF records; cleartext NFC data exchange,M3 - Insecure Communication,https://developer.android.com/develop/connectivity/nfc
Cryptography,Android Keystore Key Import,Android,Medium,"keystore key import wrapped secure attestation key wrapping aes",Importing encryption keys insecurely into Android Keystore,Use wrapped key import with purpose-bound wrapping key; verify key attestation after import,KeyStore.setEntry() with wrapped key; verify attestation certificate chain after import,Import raw key bytes directly; no wrapping; key exposed in memory during import process,M5 - Insufficient Cryptography,https://developer.android.com/privacy-and-security/keystore
Platform,Android Clipboard Auto-Clear,Android,Medium,"clipboard auto clear android 13 sensitive copy paste timeout",Sensitive data copied to clipboard persists indefinitely on older Android versions,Set ClipDescription.EXTRA_IS_SENSITIVE flag; implement auto-clear timer; use PendingIntent for delayed clear,ClipData.newPlainText().apply { description.extras = persistableBundle { EXTRA_IS_SENSITIVE = true } },Copy password to clipboard; no sensitive flag; no auto-clear; data accessible to all apps indefinitely,M2 - Insecure Data Storage,https://developer.android.com/develop/ui/views/touch-and-input/copy-paste
Lint,Google Security Lints Integration,Android,High,"android security lints google custom lint check gradle dependency vulnerability",Not using Google's android-security-lints for automated vulnerability detection,Add com.android.security.lint:lint as lintChecks dependency; run ./gradlew lint; fix all security warnings,lintChecks('com.android.security.lint:lint:1.0.3') in build.gradle; ./gradlew lint; zero security warnings,No security lint checks; vulnerabilities only found in manual review or production incidents,M7 - Client Code Quality,https://github.com/google/android-security-lints
Lint,TrustAllX509TrustManager [Lint],Android,Critical,"trustallx509trustmanager ssl tls trust manager certificate validation bypass lint",Custom X509TrustManager with empty checkServerTrusted/checkClientTrusted trusting all certificates,Never implement empty TrustManager; use default system TrustManager; add certificate pinning,Use default TrustManagerFactory; CertificatePinner for pinning; network_security_config for custom CAs,TrustManager with empty checkServerTrusted() {} trusts all certificates including attacker's,M3 - Insecure Communication,https://developer.android.com/privacy-and-security/security-config
Lint,SetWorldReadable SetWorldWritable [Lint],Android,High,"setWorldReadable setWorldWritable file permission mode_world_readable lint",Files created with MODE_WORLD_READABLE/WORLD_WRITABLE accessible to all apps on device,Use MODE_PRIVATE for all files; share via FileProvider with URI permissions,openFileOutput('data' MODE_PRIVATE); share via FileProvider with FLAG_GRANT_READ_URI_PERMISSION,openFileOutput('data' MODE_WORLD_READABLE) or setWorldReadable(true) accessible to any app,M2 - Insecure Data Storage,
Lint,ExposedRootPath [Lint],Android,High,"exposed root path fileprovider root-path configuration lint security",FileProvider configured with <root-path> granting access to entire device filesystem,Never use <root-path> in FileProvider; use specific path types (files-path; cache-path; external-path),<files-path name='docs' path='shared_docs/'/> restricts to specific subdirectory,<root-path name='root' path=''/> allows access to ANY file on the device,M2 - Insecure Data Storage,https://github.com/google/android-security-lints
Lint,SensitiveExternalPath [Lint],Android,High,"sensitive external path storage pii fileprovider external lint",Sensitive data (PII; tokens; credentials) stored via FileProvider external paths,Store sensitive data in app-internal storage only; never share via external-path or external-files-path,Use <files-path> or <cache-path> for sensitive data; <external-path> only for non-sensitive media,Sensitive user data shared via <external-files-path> accessible to other apps with storage permission,M2 - Insecure Data Storage,https://github.com/google/android-security-lints
Lint,LogInfoDisclosure [Lint],Android,High,"log info disclosure logcat sensitive pii token password lint",Logging sensitive information (PII; tokens; passwords) via Log.d/Log.v/Log.i in production,Never log sensitive data at any level; use Timber with custom release tree; strip logs in release,Timber.plant(ReleaseTree()); log only non-sensitive context; redact PII in all log statements,Log.d(TAG 'Login user=$email token=$jwt') exposes credentials to any app reading logcat,M10 - Extraneous Functionality,https://github.com/google/android-security-lints
Lint,DefaultCleartextTraffic [Lint],Android,High,"default cleartext traffic http api 27 network security config lint",On API 27 and below default network config trusts cleartext HTTP traffic,Set cleartextTrafficPermitted=false in network_security_config.xml; target API 28+ minimum,<base-config cleartextTrafficPermitted='false'/>; android:networkSecurityConfig in manifest,No network_security_config.xml on API 27; cleartext HTTP traffic allowed by default,M3 - Insecure Communication,https://github.com/google/android-security-lints
Lint,DefaultTrustedUserCerts [Lint],Android,Medium,"default trusted user certs ca certificate api 23 network security lint",On API 23 and below default network config trusts user-added CA certificates enabling MITM,Set trust-anchors to system CAs only in network_security_config.xml; target API 24+ minimum,<trust-anchors><certificates src='system'/></trust-anchors> in base-config,No network_security_config.xml on API 23; user-installed CA certs trusted for app connections,M3 - Insecure Communication,https://github.com/google/android-security-lints
Lint,DisabledSafeBrowsing [Lint],Android,Medium,"safe browsing disabled webview malicious url phishing lint",Safe Browsing disabled in WebView allowing users to visit malicious/phishing URLs,Keep Safe Browsing enabled; use enableSafeBrowsing=true; handle SafeBrowsingResponse,<meta-data android:name='android.webkit.WebView.EnableSafeBrowsing' android:value='true'/>,android:enableSafeBrowsing='false' or WebSettings.setSafeBrowsingEnabled(false),M1 - Improper Platform Usage,https://github.com/google/android-security-lints
Lint,InsecureDnsSdkLevel [Lint],Android,Medium,"insecure dns sdk level custom dns configuration spoofing resolution lint",Custom DNS configurations on lower SDK levels susceptible to DNS spoofing attacks,Use Android OS built-in transport security on SDK 28+; avoid custom DNS resolvers,Target SDK 28+ for built-in DNS-over-TLS; use system DNS resolver,Custom DNS resolver without encryption on SDK < 28; vulnerable to DNS spoofing,M3 - Insecure Communication,https://github.com/google/android-security-lints
Lint,StrandhoggVulnerable [Lint],Android,High,"strandhogg vulnerability task reparenting allowTaskReparenting taskAffinity lint",Activity with allowTaskReparenting or taskAffinity vulnerable to Strandhogg task hijacking,Set allowTaskReparenting=false; use empty taskAffinity; set launchMode=singleTask for sensitive activities,android:allowTaskReparenting='false'; android:taskAffinity=''; launchMode='singleTask',android:allowTaskReparenting='true' allows malicious app to hijack activity and steal credentials,M1 - Improper Platform Usage,https://github.com/google/android-security-lints
Lint,StickyBroadcast Insecurity [Lint],Android,Medium,"sticky broadcast sendStickyBroadcast insecure permission access modify lint",Using sendStickyBroadcast/sendStickyOrderedBroadcast which any app can access and modify,Use sendBroadcast with custom permission instead; sticky broadcasts deprecated in API 21,sendBroadcast(intent 'com.app.PERMISSION') with signature-level protection,sendStickyBroadcast(intent) accessible to any app; data can be intercepted and modified,M1 - Improper Platform Usage,https://github.com/google/android-security-lints
Lint,UnintendedExposedUrl [Lint],Android,High,"unintended exposed url debug development staging localhost ip address lint",Debug/development/staging URLs or private IP addresses left in production code,Remove all debug URLs before release; use BuildConfig fields for environment switching; CI checks,BuildConfig.BASE_URL from build flavors; no hardcoded URLs; lint + CI scan for debug endpoints,Hardcoded 'http://192.168.1.100:8080/api' or 'https://staging.internal.com' in production APK,M10 - Extraneous Functionality,https://github.com/google/android-security-lints
Lint,VulnerableCryptoAlgorithm [Lint],Android,Critical,"vulnerable crypto algorithm md5 sha1 des rc4 weak hash lint",Using broken cryptographic algorithms (MD5; SHA-1; DES; RC4; ECB mode) detected by lint,Use AES-256-GCM for encryption; SHA-256+ for hashing; never use MD5/SHA-1/DES/RC4/ECB,MessageDigest.getInstance('SHA-256'); Cipher.getInstance('AES/GCM/NoPadding'),MessageDigest.getInstance('MD5') or Cipher.getInstance('DES/ECB/PKCS5Padding'),M5 - Insufficient Cryptography,https://github.com/google/android-security-lints
Lint,WeakPrng [Lint],Android,High,"weak prng random java.util.Random predictable token session lint",Using java.util.Random for security-sensitive values (tokens; session IDs; OTPs),Use java.security.SecureRandom for all security contexts; never use Random for tokens or keys,SecureRandom() for token generation; SecureRandom.getInstanceStrong() for key material,Random().nextLong().toString() for session token or OTP code; predictable by attacker,M5 - Insufficient Cryptography,https://github.com/google/android-security-lints
Lint,BluetoothDiscoveryDuration [Lint],Android,Medium,"bluetooth discovery duration zero extended attack window ble lint",Bluetooth discovery set to zero (infinite) or excessively long increasing attack window,Set reasonable discovery duration (max 120 seconds); disable when not needed; prompt user,startActivityForResult(discoverableIntent) with EXTRA_DISCOVERABLE_DURATION = 60,EXTRA_DISCOVERABLE_DURATION = 0 makes device discoverable indefinitely while app runs,M3 - Insecure Communication,https://github.com/google/android-security-lints
Lint,MissingAutoVerify [Lint],Android,High,"missing auto verify app links deep link intent filter http https lint",Intent filter for HTTP/HTTPS URLs without autoVerify allowing other apps to hijack links,Add android:autoVerify='true' to intent filters; set up Digital Asset Links .well-known/assetlinks.json,<intent-filter android:autoVerify='true'> + /.well-known/assetlinks.json on domain,<intent-filter> with http/https data without autoVerify; any app can claim your domain's URLs,M1 - Improper Platform Usage,https://github.com/google/android-security-lints
Lint,InsecurePermissionProtectionLevel [Lint],Android,Medium,"insecure permission protection level normal dangerous custom lint",Custom permissions declared with normal or dangerous protectionLevel instead of signature,Use protectionLevel='signature' for custom permissions; only same-signed apps can obtain,<permission android:protectionLevel='signature'/> ensures only your apps have permission,<permission android:protectionLevel='normal'/> any app can request and auto-obtain,M1 - Improper Platform Usage,https://github.com/google/android-security-lints
Lint,UnprotectedSMSBroadcastReceiver [Lint],Android,High,"unprotected sms broadcast receiver intercept otp read message lint",BroadcastReceiver for SMS_RECEIVED without proper permission allowing SMS interception,Use SMS Retriever API instead of SMS permission; if needed require BROADCAST_SMS permission,SmsRetriever.getClient(context).startSmsRetriever() for OTP auto-read; no SMS permission needed,<receiver><intent-filter><action android:name='android.provider.Telephony.SMS_RECEIVED'/></intent-filter></receiver> without permission,M1 - Improper Platform Usage,
Lint,HardcodedDebugMode [Lint],Android,Critical,"hardcoded debuggable debug mode manifest lint android:debuggable true",Hardcoded android:debuggable in manifest; should be controlled by build type,Remove android:debuggable from manifest; let build system set automatically; debug=false in release,Remove android:debuggable entirely; Gradle sets debuggable=true for debug and false for release,android:debuggable='true' hardcoded in AndroidManifest.xml; debug mode in production,M8 - Security Misconfiguration,
