ID,Name,Platform,Category,Keywords,Description,Code,Imports,Notes,Reference URL
test_viewmodel,ViewModel Unit Test,Android,Testing,"test viewmodel junit turbine mockk coroutine","Complete ViewModel unit test with Turbine and MockK","@OptIn(ExperimentalCoroutinesApi::class)\nclass HomeViewModelTest {\n\n    @get:Rule\n    val mainDispatcherRule = MainDispatcherRule()\n\n    private val repository: HomeRepository = mockk()\n    private lateinit var viewModel: HomeViewModel\n\n    @Before\n    fun setup() {\n        coEvery { repository.getData() } returns listOf(Item(""1"", ""Test""))\n        viewModel = HomeViewModel(repository)\n    }\n\n    @Test\n    fun `loadData emits Loading then Success`() = runTest {\n        viewModel.uiState.test {\n            assertEquals(HomeUiState.Loading, awaitItem())\n            assertEquals(HomeUiState.Success(listOf(Item(""1"", ""Test""))), awaitItem())\n        }\n    }\n\n    @Test\n    fun `loadData emits Error on failure`() = runTest {\n        coEvery { repository.getData() } throws IOException(""Network error"")\n        viewModel = HomeViewModel(repository)\n\n        viewModel.uiState.test {\n            assertEquals(HomeUiState.Loading, awaitItem())\n            val error = awaitItem()\n            assertTrue(error is HomeUiState.Error)\n        }\n    }\n}\n\nclass MainDispatcherRule(\n    private val dispatcher: TestDispatcher = UnconfinedTestDispatcher()\n) : TestWatcher() {\n    override fun starting(description: Description) {\n        Dispatchers.setMain(dispatcher)\n    }\n    override fun finished(description: Description) {\n        Dispatchers.resetMain()\n    }\n}","import app.cash.turbine.test\nimport io.mockk.coEvery\nimport io.mockk.mockk\nimport kotlinx.coroutines.test.*\nimport org.junit.Rule\nimport org.junit.Test","MainDispatcherRule replaces Main dispatcher. Turbine for Flow testing.",https://developer.android.com/training/testing/local-tests
test_compose,Compose UI Test,Android,Testing,"compose test ui semantics rule click assert","Compose UI test with ComposeTestRule","class HomeScreenTest {\n\n    @get:Rule\n    val composeTestRule = createComposeRule()\n\n    @Test\n    fun showsLoadingIndicator_whenLoading() {\n        composeTestRule.setContent {\n            AppTheme {\n                HomeScreen(uiState = HomeUiState.Loading, onItemClick = {})\n            }\n        }\n        composeTestRule.onNode(hasTestTag(""loading_indicator"")).assertIsDisplayed()\n    }\n\n    @Test\n    fun showsItems_whenSuccess() {\n        val items = listOf(Item(""1"", ""First""), Item(""2"", ""Second""))\n        composeTestRule.setContent {\n            AppTheme {\n                HomeScreen(uiState = HomeUiState.Success(items), onItemClick = {})\n            }\n        }\n        composeTestRule.onNodeWithText(""First"").assertIsDisplayed()\n        composeTestRule.onNodeWithText(""Second"").assertIsDisplayed()\n    }\n\n    @Test\n    fun showsErrorWithRetry_whenError() {\n        composeTestRule.setContent {\n            AppTheme {\n                HomeScreen(uiState = HomeUiState.Error(""Network error""), onItemClick = {})\n            }\n        }\n        composeTestRule.onNodeWithText(""Network error"").assertIsDisplayed()\n        composeTestRule.onNodeWithText(""Retry"").assertIsDisplayed()\n    }\n}","import androidx.compose.ui.test.*\nimport androidx.compose.ui.test.junit4.createComposeRule\nimport org.junit.Rule\nimport org.junit.Test","Test composables by passing UiState directly. Use testTag for finding nodes.",https://developer.android.com/develop/ui/compose/testing
app_class,Hilt Application Class,Android,Setup,"hilt application class entry point android","HiltAndroidApp Application class","@HiltAndroidApp\nclass MyApp : Application()\n\n// In AndroidManifest.xml:\n// <application\n//     android:name="".MyApp""\n//     android:allowBackup=""false""\n//     android:theme=""@style/Theme.MyApp""\n//     tools:targetApi=""31"">\n//     <activity\n//         android:name="".MainActivity""\n//         android:exported=""true"">\n//         <intent-filter>\n//             <action android:name=""android.intent.action.MAIN"" />\n//             <category android:name=""android.intent.category.LAUNCHER"" />\n//         </intent-filter>\n//     </activity>\n// </application>","import android.app.Application\nimport dagger.hilt.android.HiltAndroidApp","@HiltAndroidApp is required. Set allowBackup=false for security.",https://developer.android.com/training/dependency-injection/hilt-android
mainactivity,MainActivity with Compose,Android,Setup,"mainactivity compose setcontent edge edge enableedgetoedge","MainActivity setup with edge-to-edge Compose","@AndroidEntryPoint\nclass MainActivity : ComponentActivity() {\n    override fun onCreate(savedInstanceState: Bundle?) {\n        super.onCreate(savedInstanceState)\n        enableEdgeToEdge()\n        setContent {\n            AppTheme {\n                AppNavHost()\n            }\n        }\n    }\n}","import android.os.Bundle\nimport androidx.activity.ComponentActivity\nimport androidx.activity.compose.setContent\nimport androidx.activity.enableEdgeToEdge\nimport dagger.hilt.android.AndroidEntryPoint","enableEdgeToEdge() for modern Android look. @AndroidEntryPoint for Hilt.",https://developer.android.com/develop/ui/compose/setup
domain_model,Domain Model with Mappers,Android,Architecture,"domain model entity dto mapper clean","Domain model with DTO and Entity mappers","// Domain model\ndata class Item(\n    val id: String,\n    val title: String,\n    val description: String,\n    val imageUrl: String?,\n    val price: Double,\n    val isFavorite: Boolean = false\n)\n\n// DTO (from API)\n@JsonClass(generateAdapter = true)\ndata class ItemDto(\n    val id: String,\n    val title: String,\n    val description: String,\n    @Json(name = ""image_url"") val imageUrl: String?,\n    val price: Double\n) {\n    fun toDomain() = Item(id, title, description, imageUrl, price)\n}\n\n// Entity (Room)\n@Entity(tableName = ""items"")\ndata class ItemEntity(\n    @PrimaryKey val id: String,\n    val title: String,\n    val description: String,\n    val imageUrl: String?,\n    val price: Double,\n    val isFavorite: Boolean = false\n) {\n    fun toDomain() = Item(id, title, description, imageUrl, price, isFavorite)\n}\n\nfun Item.toEntity() = ItemEntity(id, title, description, imageUrl, price, isFavorite)","import com.squareup.moshi.Json\nimport com.squareup.moshi.JsonClass\nimport androidx.room.Entity\nimport androidx.room.PrimaryKey","Separate DTO Entity and Domain models. Map at boundaries.",https://developer.android.com/topic/architecture/data-layer
usecase,UseCase Pattern,Android,Architecture,"usecase invoke operator clean domain business logic","Invocable UseCase with operator fun","abstract class UseCase<in P, R> {\n    suspend operator fun invoke(params: P): Result<R> = try {\n        Result.success(execute(params))\n    } catch (e: Exception) {\n        Result.failure(e)\n    }\n    protected abstract suspend fun execute(params: P): R\n}\n\nclass GetItemUseCase @Inject constructor(\n    private val repository: ItemRepository\n) : UseCase<String, Item>() {\n    override suspend fun execute(params: String): Item =\n        repository.getItem(params)\n}\n\nclass GetItemsUseCase @Inject constructor(\n    private val repository: ItemRepository\n) : UseCase<Unit, List<Item>>() {\n    override suspend fun execute(params: Unit): List<Item> =\n        repository.getItems()\n}\n\n// Usage in ViewModel:\nval result = getItemUseCase(itemId)\nresult.fold(\n    onSuccess = { _uiState.value = UiState.Success(it) },\n    onFailure = { _uiState.value = UiState.Error(it.message) }\n)","import javax.inject.Inject","Use operator fun invoke for clean call syntax. Only for non-trivial business logic.",https://developer.android.com/topic/architecture/domain-layer
compose_remember_perf,Remember for Performance,Android,Performance,"compose remember cache expensive calculation sort filter","Optimize expensive calculations with remember","// BAD: Expensive calculation on every recomposition\n@Composable\nfun ContactList(\n    contacts: List<Contact>,\n    comparator: Comparator<Contact>\n) {\n    LazyColumn {\n        // PROBLEM: sorts entire list on EVERY recomposition\n        items(contacts.sortedWith(comparator)) { contact ->\n            ContactCard(contact)\n        }\n    }\n}\n\n// GOOD: Cache calculation with remember\n@Composable\nfun ContactList(\n    contacts: List<Contact>,\n    comparator: Comparator<Contact>\n) {\n    // Only sorts when contacts or comparator changes\n    val sortedContacts = remember(contacts, comparator) {\n        contacts.sortedWith(comparator)\n    }\n    \n    LazyColumn {\n        items(sortedContacts, key = { it.id }) { contact ->\n            ContactCard(contact)\n        }\n    }\n}","import androidx.compose.runtime.remember\nimport androidx.compose.foundation.lazy.LazyColumn\nimport androidx.compose.foundation.lazy.items","Use remember with keys to cache expensive calculations. Only recalculates when dependencies change.",https://developer.android.com/develop/ui/compose/performance/bestpractices
compose_derivedstate,DerivedStateOf for Scroll,Android,Performance,"derivedstateof scroll performance recomposition limit","Limit recompositions with derivedStateOf","// BAD: Recomposes on every scroll pixel\n@Composable\nfun ScrollableListWithButton() {\n    val listState = rememberLazyListState()\n    \n    LazyColumn(state = listState) {\n        // ...\n    }\n    \n    // PROBLEM: firstVisibleItemIndex changes constantly during scroll\n    // causing AnimatedVisibility to recompose on every pixel\n    val showButton = listState.firstVisibleItemIndex > 0\n    \n    AnimatedVisibility(visible = showButton) {\n        ScrollToTopButton()\n    }\n}\n\n// GOOD: Use derivedStateOf to reduce recomposition\n@Composable\nfun ScrollableListWithButton() {\n    val listState = rememberLazyListState()\n    \n    LazyColumn(state = listState) {\n        // ...\n    }\n    \n    // Only recomposes when the boolean value actually changes\n    val showButton by remember {\n        derivedStateOf {\n            listState.firstVisibleItemIndex > 0\n        }\n    }\n    \n    AnimatedVisibility(visible = showButton) {\n        ScrollToTopButton()\n    }\n}","import androidx.compose.runtime.derivedStateOf\nimport androidx.compose.runtime.getValue\nimport androidx.compose.runtime.remember\nimport androidx.compose.foundation.lazy.rememberLazyListState","Use derivedStateOf when derived value changes less frequently than source state.",https://developer.android.com/develop/ui/compose/performance/bestpractices
compose_lazy_keys,Lazy Layout Stable Keys,Android,Performance,"lazycolumn lazyrow item key stable reorder","Provide stable keys for lazy layouts","// BAD: No keys - full recomposition on reorder\n@Composable\nfun NotesList(notes: List<Note>) {\n    LazyColumn {\n        // PROBLEM: When a note moves (e.g. sorted by time)\n        // Compose thinks all items changed and recomposes everything\n        items(notes) { note ->\n            NoteRow(note)\n        }\n    }\n}\n\n// GOOD: Stable keys enable smart recomposition\n@Composable\nfun NotesList(notes: List<Note>) {\n    LazyColumn {\n        // With key, Compose knows which item is which\n        // Only the moved item updates, others skip recomposition\n        items(\n            items = notes,\n            key = { note -> note.id }\n        ) { note ->\n            NoteRow(note)\n        }\n    }\n}\n\n// ALSO GOOD: Using itemsIndexed with key\n@Composable\nfun NotesList(notes: List<Note>) {\n    LazyColumn {\n        itemsIndexed(\n            items = notes,\n            key = { _, note -> note.id }\n        ) { index, note ->\n            NoteRow(note, index)\n        }\n    }\n}","import androidx.compose.foundation.lazy.LazyColumn\nimport androidx.compose.foundation.lazy.items\nimport androidx.compose.foundation.lazy.itemsIndexed","Always provide stable unique keys for list items to optimize recomposition.",https://developer.android.com/develop/ui/compose/performance/bestpractices
compose_defer_reads,Defer State Reads,Android,Performance,"defer lambda state read recomposition scope offset","Defer state reads to narrow recomposition scope","// BAD: State read in parent causes wide recomposition\n@Composable\nfun SnackDetail() {\n    val scroll = rememberScrollState(0)\n    \n    Box(Modifier.fillMaxSize()) {\n        // PROBLEM: Reading scroll.value here means the entire\n        // Box recomposes on every scroll change\n        Title(snack, scroll.value)\n        // ...\n    }\n}\n\n@Composable\nfun Title(snack: Snack, scroll: Int) {\n    val offset = with(LocalDensity.current) { scroll.toDp() }\n    Column(modifier = Modifier.offset(y = offset)) {\n        Text(snack.name)\n    }\n}\n\n// BETTER: Pass state as lambda to defer read\n@Composable\nfun SnackDetail() {\n    val scroll = rememberScrollState(0)\n    \n    Box(Modifier.fillMaxSize()) {\n        // Pass lambda - read happens in Title, not here\n        Title(snack, scrollProvider = { scroll.value })\n        // ...\n    }\n}\n\n@Composable\nfun Title(snack: Snack, scrollProvider: () -> Int) {\n    val offset = with(LocalDensity.current) { \n        scrollProvider().toDp() \n    }\n    Column(modifier = Modifier.offset(y = offset)) {\n        Text(snack.name)\n    }\n}\n\n// BEST: Use Modifier lambda to skip recomposition entirely\n@Composable\nfun SnackDetail() {\n    val scroll = rememberScrollState(0)\n    \n    Box(Modifier.fillMaxSize()) {\n        Title(snack, scrollProvider = { scroll.value })\n        // ...\n    }\n}\n\n@Composable\nfun Title(snack: Snack, scrollProvider: () -> Int) {\n    // Layout phase only - no recomposition!\n    Column(\n        modifier = Modifier.offset {\n            IntOffset(x = 0, y = scrollProvider())\n        }\n    ) {\n        Text(snack.name)\n    }\n}","import androidx.compose.runtime.Composable\nimport androidx.compose.ui.Modifier\nimport androidx.compose.ui.unit.IntOffset\nimport androidx.compose.foundation.rememberScrollState","Pass state as lambdas to defer reads. Use Modifier lambdas for layout-only changes.",https://developer.android.com/develop/ui/compose/performance/bestpractices
compose_backwards_write,Avoid Backwards Writes,Android,Performance,"backwards write infinite loop state recomposition","Never write to state after reading it","// BAD: Backwards write causes infinite recomposition\n@Composable\nfun BadComposable() {\n    var count by remember { mutableStateOf(0) }\n    \n    // User clicks button\n    Button(onClick = { count++ }) {\n        Text(\"Recompose\")\n    }\n    \n    // Read state\n    Text(\"Count: $count\")\n    \n    // PROBLEM: Writing to state AFTER reading it\n    // This causes another recomposition, which reads count,\n    // then writes again, infinite loop!\n    count++  // BACKWARDS WRITE - DON'T DO THIS\n}\n\n// GOOD: Only write state in event handlers\n@Composable\nfun GoodComposable() {\n    var count by remember { mutableStateOf(0) }\n    \n    // State writes ONLY happen in response to events\n    Button(onClick = { count++ }) {\n        Text(\"Increment\")\n    }\n    \n    Button(onClick = { count = 0 }) {\n        Text(\"Reset\")\n    }\n    \n    // Only read state for display\n    Text(\"Count: $count\")\n    \n    // No writes in composition body\n}\n\n// GOOD: Use LaunchedEffect for side effects\n@Composable\nfun TimerComposable() {\n    var count by remember { mutableStateOf(0) }\n    \n    // Side effects in LaunchedEffect, not composition\n    LaunchedEffect(Unit) {\n        while (true) {\n            delay(1000)\n            count++\n        }\n    }\n    \n    Text(\"Seconds: $count\")\n}","import androidx.compose.runtime.*\nimport androidx.compose.material3.Button\nimport androidx.compose.material3.Text\nimport kotlinx.coroutines.delay","Never write to state in composition body after reading it. Use event handlers or LaunchedEffect.",https://developer.android.com/develop/ui/compose/performance/bestpractices
baseline_profile_gen,Baseline Profile Generation,Android,Startup,"baseline profile macrobenchmark startup navigation","Generate Baseline Profile with Macrobenchmark","// Create benchmark module: benchmark/build.gradle.kts\nplugins {\n    id('com.android.test')\n    id('androidx.baselineprofile')\n}\n\nandroid {\n    targetProjectPath = ':app'\n    experimentalProperties['android.experimental.testOptions.managedDevices.emulator.showKernelLogging'] = true\n}\n\ndependencies {\n    implementation('androidx.benchmark:benchmark-macro-junit4:1.2.0')\n}\n\n// Benchmark test: StartupBenchmark.kt\n@RunWith(AndroidJUnit4::class)\nclass StartupBenchmark {\n    @get:Rule\n    val benchmarkRule = MacrobenchmarkRule()\n\n    @Test\n    fun startup() = benchmarkRule.measureRepeated(\n        packageName = 'com.example.app',\n        metrics = listOf(StartupTimingMetric()),\n        iterations = 5,\n        startupMode = StartupMode.COLD,\n        setupBlock = {\n            pressHome()\n        }\n    ) {\n        startActivityAndWait()\n        // Navigate critical paths\n        device.findObject(By.text('Profile')).click()\n        device.wait(Until.hasObject(By.text('Settings')), 3000)\n    }\n}\n\n// In app/build.gradle.kts\nplugins {\n    id('androidx.baselineprofile')\n}\n\n// baseline-prof.txt generated in app/src/main","import androidx.benchmark.macro.junit4.MacrobenchmarkRule\nimport androidx.benchmark.macro.StartupMode\nimport androidx.benchmark.macro.StartupTimingMetric","Run ./gradlew :benchmark:pixel6Api33BenchmarkAndroidTest to generate profile. Deploy with release build.",https://developer.android.com/topic/performance/baselineprofiles/overview
app_startup_initializer,App Startup Initializer,Android,Startup,"app startup initializer dependencies contentprovider","Consolidate initialization with App Startup library","// Create initializers with dependencies\nclass LoggerInitializer : Initializer<Logger> {\n    override fun create(context: Context): Logger {\n        return Logger.getInstance(context).apply {\n            setLogLevel(if (BuildConfig.DEBUG) Log.DEBUG else Log.WARN)\n        }\n    }\n\n    override fun dependencies(): List<Class<out Initializer<*>>> = emptyList()\n}\n\nclass AnalyticsInitializer : Initializer<Analytics> {\n    override fun create(context: Context): Analytics {\n        return Analytics.initialize(context, apiKey = BuildConfig.ANALYTICS_KEY)\n    }\n\n    // Analytics depends on Logger\n    override fun dependencies() = listOf(LoggerInitializer::class.java)\n}\n\nclass CrashlyticsInitializer : Initializer<Crashlytics> {\n    override fun create(context: Context): Crashlytics {\n        return Crashlytics.start(context)\n    }\n\n    // Crashlytics depends on Logger\n    override fun dependencies() = listOf(LoggerInitializer::class.java)\n}\n\n// In AndroidManifest.xml - single provider for all\n<provider\n    android:name='androidx.startup.InitializationProvider'\n    android:authorities='${applicationId}.androidx-startup'\n    android:exported='false'\n    tools:node='merge'>\n    <meta-data\n        android:name='com.example.LoggerInitializer'\n        android:value='androidx.startup' />\n    <meta-data\n        android:name='com.example.AnalyticsInitializer'\n        android:value='androidx.startup' />\n    <meta-data\n        android:name='com.example.CrashlyticsInitializer'\n        android:value='androidx.startup' />\n</provider>","import androidx.startup.Initializer\nimport android.content.Context","Replaces multiple ContentProviders. Lazy init: AppInitializer.getInstance(context).initializeComponent(AnalyticsInitializer::class.java)",https://developer.android.com/topic/libraries/app-startup
viewstub_lazy_inflate,ViewStub Lazy Inflation,Android,Startup,"viewstub inflate lazy defer view hierarchy","Defer view inflation with ViewStub","// In layout XML: activity_main.xml\n<LinearLayout xmlns:android='http://schemas.android.com/apk/res/android'\n    android:layout_width='match_parent'\n    android:layout_height='match_parent'\n    android:orientation='vertical'>\n\n    <!-- Always visible content -->\n    <TextView\n        android:id='@+id/title'\n        android:layout_width='wrap_content'\n        android:layout_height='wrap_content' />\n\n    <!-- Deferred complex view -->\n    <ViewStub\n        android:id='@+id/error_stub'\n        android:layout='@layout/error_view'\n        android:inflatedId='@+id/error_view'\n        android:layout_width='match_parent'\n        android:layout_height='wrap_content' />\n\n    <!-- Deferred premium feature -->\n    <ViewStub\n        android:id='@+id/premium_stub'\n        android:layout='@layout/premium_features'\n        android:layout_width='match_parent'\n        android:layout_height='wrap_content' />\n</LinearLayout>\n\n// In Activity/Fragment\nclass MainActivity : AppCompatActivity() {\n    private var errorView: View? = null\n\n    override fun onCreate(savedInstanceState: Bundle?) {\n        super.onCreate(savedInstanceState)\n        setContentView(R.layout.activity_main)\n        // ViewStubs not inflated yet - faster startup\n    }\n\n    private fun showError(message: String) {\n        if (errorView == null) {\n            val stub = findViewById<ViewStub>(R.id.error_stub)\n            errorView = stub.inflate() // Inflate only when needed\n        }\n        errorView?.findViewById<TextView>(R.id.error_message)?.text = message\n        errorView?.visibility = View.VISIBLE\n    }\n}","import android.view.ViewStub\nimport android.view.View","Inflate ViewStub only when needed. Check if already inflated to avoid crash.",https://developer.android.com/reference/android/view/ViewStub
compose_lazy_load,Compose Conditional Loading,Android,Startup,"compose lazy load defer state launchedeffect","Defer expensive composables until needed","// Pattern 1: Immediate conditional rendering\n@Composable\nfun HomeScreen(viewModel: HomeViewModel = hiltViewModel()) {\n    val uiState by viewModel.uiState.collectAsStateWithLifecycle()\n    var showPremiumDialog by remember { mutableStateOf(false) }\n\n    Column {\n        // Always rendered\n        TopBar()\n        ContentList()\n\n        // Only compose when needed - similar to ViewStub\n        if (showPremiumDialog) {\n            PremiumDialog(onDismiss = { showPremiumDialog = false })\n        }\n    }\n}\n\n// Pattern 2: Deferred loading with LaunchedEffect\n@Composable\nfun DeferredContent() {\n    var shouldLoadExpensive by remember { mutableStateOf(false) }\n\n    // Load expensive content after initial composition\n    LaunchedEffect(Unit) {\n        delay(100) // Let first frame render\n        shouldLoadExpensive = true\n    }\n\n    Column {\n        // Fast initial content\n        Text('Loading...')\n\n        // Heavy composable deferred\n        if (shouldLoadExpensive) {\n            ExpensiveChart()\n            ComplexAnimations()\n        }\n    }\n}\n\n// Pattern 3: Lazy loading on user interaction\n@Composable\nfun ExpandableSection() {\n    var isExpanded by remember { mutableStateOf(false) }\n\n    Column {\n        Button(onClick = { isExpanded = !isExpanded }) {\n            Text(if (isExpanded) 'Collapse' else 'Expand')\n        }\n\n        // Only compose when expanded\n        AnimatedVisibility(visible = isExpanded) {\n            DetailedContent() // Heavy nested composables\n        }\n    }\n}","import androidx.compose.runtime.*\nimport androidx.compose.animation.AnimatedVisibility\nimport androidx.hilt.navigation.compose.hiltViewModel\nimport kotlinx.coroutines.delay","Use state-based conditional rendering to defer expensive composables. Similar to ViewStub concept.",https://developer.android.com/develop/ui/compose/performance
workmanager_lazy_init,WorkManager Lazy Init,Android,Startup,"workmanager lazy initialization on-demand configuration provider","Defer WorkManager initialization","// Step 1: Disable auto-initialization in AndroidManifest.xml\n<application>\n    <provider\n        android:name='androidx.startup.InitializationProvider'\n        android:authorities='${applicationId}.androidx-startup'\n        android:exported='false'\n        tools:node='merge'>\n        <!-- Remove WorkManager auto-init -->\n        <meta-data\n            android:name='androidx.work.WorkManagerInitializer'\n            android:value='androidx.startup'\n            tools:node='remove' />\n    </provider>\n</application>\n\n// Step 2: Implement Configuration.Provider in Application\nclass MyApp : Application(), Configuration.Provider {\n    override val workManagerConfiguration: Configuration\n        get() = Configuration.Builder()\n            .setMinimumLoggingLevel(if (BuildConfig.DEBUG) Log.DEBUG else Log.ERROR)\n            .setWorkerFactory(DelegatingWorkerFactory().apply {\n                addFactory(HiltWorkerFactory())\n            })\n            .build()\n\n    override fun onCreate() {\n        super.onCreate()\n        // WorkManager NOT initialized here\n    }\n}\n\n// Step 3: Initialize on-demand when needed\nclass NotificationRepository @Inject constructor(\n    @ApplicationContext private val context: Context\n) {\n    fun scheduleNotification() {\n        // WorkManager auto-initializes on first getInstance() call\n        val workRequest = OneTimeWorkRequestBuilder<NotificationWorker>()\n            .setInitialDelay(1, TimeUnit.HOURS)\n            .build()\n\n        WorkManager.getInstance(context).enqueue(workRequest)\n        // Only initialized if user actually schedules work\n    }\n}","import androidx.work.Configuration\nimport androidx.work.WorkManager\nimport android.util.Log","Only initialize WorkManager when actually scheduling work. Saves startup time if no work needed.",https://developer.android.com/topic/libraries/architecture/workmanager/advanced/custom-configuration
vector_drawable_usage,Vector Drawable vs Raster,Android,Startup,"vector drawable scalable webp png optimization","Use vector drawables for scalable icons","// BAD: Using PNG for all densities\nres/\n  drawable-mdpi/ic_home.png (3KB)\n  drawable-hdpi/ic_home.png (5KB)\n  drawable-xhdpi/ic_home.png (8KB)\n  drawable-xxhdpi/ic_home.png (12KB)\n  drawable-xxxhdpi/ic_home.png (18KB)\n// Total: 46KB for one icon\n\n// GOOD: Single vector drawable\nres/drawable/ic_home.xml\n<vector xmlns:android='http://schemas.android.com/apk/res/android'\n    android:width='24dp'\n    android:height='24dp'\n    android:viewportWidth='24'\n    android:viewportHeight='24'\n    android:tint='?attr/colorControlNormal'>\n    <path\n        android:fillColor='@android:color/white'\n        android:pathData='M10,20v-6h4v6h5v-8h3L12,3 2,12h3v8z'/>\n</vector>\n// Total: <1KB, scales perfectly\n\n// Usage in code\nImageView(context).apply {\n    setImageResource(R.drawable.ic_home)\n}\n\n// Compose usage\nIcon(\n    imageVector = ImageVector.vectorResource(R.drawable.ic_home),\n    contentDescription = 'Home'\n)\n\n// For complex images, use WebP\n// Convert PNG to WebP in Android Studio:\n// Right-click PNG → Convert to WebP\n// Before: app_logo.png (500KB)\n// After: app_logo.webp (45KB)\n// 91% size reduction with minimal quality loss\n\n// Load WebP\nImage(\n    painter = painterResource(R.drawable.app_logo), // .webp\n    contentDescription = 'Logo'\n)","import androidx.compose.material3.Icon\nimport androidx.compose.ui.graphics.vector.ImageVector\nimport androidx.compose.foundation.Image","Use vector drawables for icons. Use WebP for photos. Convert in Android Studio: Right-click → Convert to WebP.",https://developer.android.com/develop/ui/views/graphics/vector-drawable-resources
android_keystore_keys,Android Keystore Key Generation,Android,Security,"keystore hardware cryptographic aes rsa encryption","Generate and store keys in Android Keystore","// Generate AES key in Keystore\nfun generateAESKey(): SecretKey {\n    val keyGenerator = KeyGenerator.getInstance(\n        KeyProperties.KEY_ALGORITHM_AES,\n        \"AndroidKeyStore\"\n    )\n    \n    val keyGenParameterSpec = KeyGenParameterSpec.Builder(\n        \"myAESKey\",\n        KeyProperties.PURPOSE_ENCRYPT or KeyProperties.PURPOSE_DECRYPT\n    )\n        .setBlockModes(KeyProperties.BLOCK_MODE_GCM)\n        .setEncryptionPaddings(KeyProperties.ENCRYPTION_PADDING_NONE)\n        .setUserAuthenticationRequired(true)\n        .setUserAuthenticationValidityDurationSeconds(30)\n        .setRandomizedEncryptionRequired(true)\n        .build()\n    \n    keyGenerator.init(keyGenParameterSpec)\n    return keyGenerator.generateKey()\n}\n\n// Generate RSA key pair\nfun generateRSAKeyPair(): KeyPair {\n    val keyPairGenerator = KeyPairGenerator.getInstance(\n        KeyProperties.KEY_ALGORITHM_RSA,\n        \"AndroidKeyStore\"\n    )\n    \n    val keyGenParameterSpec = KeyGenParameterSpec.Builder(\n        \"myRSAKey\",\n        KeyProperties.PURPOSE_SIGN or KeyProperties.PURPOSE_VERIFY\n    )\n        .setDigests(KeyProperties.DIGEST_SHA256)\n        .setSignaturePaddings(KeyProperties.SIGNATURE_PADDING_RSA_PKCS1)\n        .setKeySize(2048)\n        .build()\n    \n    keyPairGenerator.initialize(keyGenParameterSpec)\n    return keyPairGenerator.generateKeyPair()\n}\n\n// Retrieve existing key\nfun getKey(alias: String): Key? {\n    val keyStore = KeyStore.getInstance(\"AndroidKeyStore\")\n    keyStore.load(null)\n    return keyStore.getKey(alias, null)\n}","import java.security.KeyPairGenerator\nimport java.security.KeyStore\nimport javax.crypto.KeyGenerator\nimport android.security.keystore.KeyGenParameterSpec\nimport android.security.keystore.KeyProperties","Keys stored in hardware-backed keystore. Use setUserAuthenticationRequired() for biometric-protected keys.",https://developer.android.com/privacy-and-security/keystore
biometric_auth,BiometricPrompt Authentication,Android,Security,"biometric fingerprint face strong authentication","Implement BIOMETRIC_STRONG authentication","// Set up BiometricPrompt\nclass SecureActivity : AppCompatActivity() {\n    private lateinit var biometricPrompt: BiometricPrompt\n    private lateinit var promptInfo: BiometricPrompt.PromptInfo\n\n    override fun onCreate(savedInstanceState: Bundle?) {\n        super.onCreate(savedInstanceState)\n        \n        // Create executor\n        val executor = ContextCompat.getMainExecutor(this)\n        \n        // Create callback\n        val callback = object : BiometricPrompt.AuthenticationCallback() {\n            override fun onAuthenticationSucceeded(\n                result: BiometricPrompt.AuthenticationResult\n            ) {\n                super.onAuthenticationSucceeded(result)\n                // User authenticated - proceed with sensitive operation\n                proceedWithSecureAction()\n            }\n\n            override fun onAuthenticationError(\n                errorCode: Int,\n                errString: CharSequence\n            ) {\n                super.onAuthenticationError(errorCode, errString)\n                Toast.makeText(this@SecureActivity, \n                    \"Authentication error: $errString\", \n                    Toast.LENGTH_SHORT).show()\n            }\n\n            override fun onAuthenticationFailed() {\n                super.onAuthenticationFailed()\n                Toast.makeText(this@SecureActivity, \n                    \"Authentication failed\", \n                    Toast.LENGTH_SHORT).show()\n            }\n        }\n\n        // Initialize BiometricPrompt\n        biometricPrompt = BiometricPrompt(this, executor, callback)\n\n        // Configure prompt\n        promptInfo = BiometricPrompt.PromptInfo.Builder()\n            .setTitle(\"Authenticate\")\n            .setSubtitle(\"Verify your identity to proceed\")\n            .setAllowedAuthenticators(\n                BiometricManager.Authenticators.BIOMETRIC_STRONG or\n                BiometricManager.Authenticators.DEVICE_CREDENTIAL\n            )\n            .build()\n    }\n\n    fun initiateSecureAction() {\n        // Check biometric capability\n        val biometricManager = BiometricManager.from(this)\n        when (biometricManager.canAuthenticate(\n            BiometricManager.Authenticators.BIOMETRIC_STRONG\n        )) {\n            BiometricManager.BIOMETRIC_SUCCESS ->\n                biometricPrompt.authenticate(promptInfo)\n            else ->\n                Toast.makeText(this, \"Biometric not available\", \n                    Toast.LENGTH_SHORT).show()\n        }\n    }\n}","import androidx.biometric.BiometricPrompt\nimport androidx.biometric.BiometricManager\nimport androidx.core.content.ContextCompat","Use BIOMETRIC_STRONG for sensitive operations. Always provide DEVICE_CREDENTIAL fallback.",https://developer.android.com/training/sign-in/biometric-auth
