Category,Guideline,Description,Do,Dont,Code Good,Code Bad,Severity,Docs URL
Widgets,Widget Size Classes,"Handle different widget sizes using SizeMode.Responsive with multiple size layouts. Provide appropriate content density for small, medium, and large widget placements.",SizeMode.Responsive with breakpoints for different widget sizes,Fixed single-size layout that looks wrong when resized,"override val sizeMode = SizeMode.Responsive(setOf(DpSize(120.dp, 120.dp), DpSize(250.dp, 120.dp), DpSize(250.dp, 250.dp))); @Composable override fun Content() { val size = LocalSize.current; when { size.width < 200.dp -> CompactWidget(); size.height < 200.dp -> WideWidget(); else -> FullWidget() } }",override val sizeMode = SizeMode.Single // same layout stretched/squished for all widget sizes,Low,https://developer.android.com/develop/ui/compose/glance/create-app-widget#size
Notifications,Notification Channels,Create notification channels (required on Android 8+) organized by user-facing category. Allow users to control importance per channel. Create channels in Application.onCreate().,Separate channels per notification type created at app start,Single default channel for all notifications or creating channels lazily,"fun createChannels(ctx: Context) { val mgr = ctx.getSystemService<NotificationManager>(); mgr.createNotificationChannel(NotificationChannel('messages', 'Messages', IMPORTANCE_HIGH).apply { description = 'New message notifications' }); mgr.createNotificationChannel(NotificationChannel('updates', 'Updates', IMPORTANCE_LOW).apply { description = 'App update notifications' }) }","// Single channel: NotificationChannel('default', 'Default', IMPORTANCE_DEFAULT); // or no channel creation = notifications silently fail on Android 8+",High,https://developer.android.com/develop/ui/views/notifications/channels
Notifications,NotificationCompat Builder,"Use NotificationCompat.Builder from AndroidX for backward-compatible notifications. Set required fields: smallIcon, contentTitle, contentText, channelId. Add PendingIntent for tap action.",NotificationCompat.Builder with all required fields + PendingIntent + channelId,Notification.Builder (platform) without compat or missing required fields,"val intent = PendingIntent.getActivity(ctx, 0, Intent(ctx, MainActivity::class.java).apply { flags = Intent.FLAG_ACTIVITY_SINGLE_TOP; putExtra('articleId', id) }, PendingIntent.FLAG_IMMUTABLE or PendingIntent.FLAG_UPDATE_CURRENT); val notification = NotificationCompat.Builder(ctx, 'messages').setSmallIcon(R.drawable.ic_notification).setContentTitle(title).setContentText(body).setContentIntent(intent).setAutoCancel(true).build()","Notification.Builder(ctx, 'messages').setContentTitle(title).build() // no smallIcon = crash on some devices; no PendingIntent = tap does nothing; no compat = API differences",High,https://developer.android.com/develop/ui/views/notifications/build-notification
Notifications,POST_NOTIFICATIONS Permission,Request POST_NOTIFICATIONS runtime permission on Android 13+ before showing notifications. Without it notifications are silently blocked.,Request POST_NOTIFICATIONS on Android 13+ at an appropriate moment,Showing notifications without permission on Android 13+ = silently dropped,"if (Build.VERSION.SDK_INT >= 33) { val launcher = rememberLauncherForActivityResult(RequestPermission()) { granted -> if (granted) scheduleNotifications() }; LaunchedEffect(Unit) { if (ContextCompat.checkSelfPermission(ctx, POST_NOTIFICATIONS) != GRANTED) launcher.launch(POST_NOTIFICATIONS) } }",// No permission request; notifications silently fail on Android 13+; user never sees them,High,https://developer.android.com/develop/ui/views/notifications/notification-permission
DeepLinks,Navigation Deep Links,Define deep links in Navigation Compose using deepLinks parameter on composable destinations. Handle both custom scheme and https links.,Deep links declared on composable destinations with proper URI patterns,Manual intent parsing in Activity with complex when/if chains,composable<ArticleRoute>(deepLinks = listOf(navDeepLink<ArticleRoute>(basePath = 'https://myapp.com/articles'))) { entry -> val route = entry.toRoute<ArticleRoute>(); ArticleScreen(route.id) },// In MainActivity: override fun onNewIntent(intent: Intent) { val uri = intent.data; if (uri?.path?.startsWith('/articles') == true) { val id = uri.lastPathSegment; navController.navigate('article/$id') } } // fragile manual parsing,High,https://developer.android.com/guide/navigation/design/deep-link
DeepLinks,App Links Verification,Set up Android App Links with Digital Asset Links for verified https deep links. This makes your app the default handler without disambiguation dialog.,Verified App Links with assetlinks.json on server,Unverified deep links showing disambiguation dialog every time,<!-- AndroidManifest.xml --> <intent-filter android:autoVerify='true'><action android:name='android.intent.action.VIEW' /><category android:name='android.intent.category.DEFAULT' /><category android:name='android.intent.category.BROWSABLE' /><data android:scheme='https' android:host='myapp.com' /></intent-filter>; /* Plus .well-known/assetlinks.json on server */,<!-- No autoVerify --> <intent-filter><data android:scheme='https' android:host='myapp.com' /></intent-filter> // disambiguation dialog every time; poor UX,Medium,https://developer.android.com/training/app-links/verify-android-applinks
DeepLinks,Deep Link Testing,Test deep links using adb commands and Navigation testing APIs. Verify all deep link routes resolve correctly in both cold start and warm start scenarios.,adb shell am start for manual testing; Navigation test for automated,Only testing deep links by clicking actual links in browser,"adb shell am start -a android.intent.action.VIEW -d 'https://myapp.com/articles/123' com.myapp; /* Plus automated: */ @Test fun articleDeepLink_navigatesToDetail() { val navController = TestNavHostController(ctx); navController.handleDeepLink(Intent().apply { data = Uri.parse('https://myapp.com/articles/123') }); assertEquals(ArticleRoute(id = '123'), navController.currentDestination) }",// Only test by manually opening links in Chrome; no automated testing; broken deep links found by users,Medium,https://developer.android.com/guide/navigation/design/deep-link
CICD,GitHub Actions Android CI,"Set up GitHub Actions CI with build, lint, and test steps. Cache Gradle dependencies for faster builds. Run on pull requests to catch issues early.",CI pipeline: build + lint + test on every PR with Gradle caching,No CI; manual builds on developer machines only,# .github/workflows/android.yml: jobs: build: runs-on: ubuntu-latest; steps: - uses: actions/checkout@v4; - uses: actions/setup-java@v4 with: java-version: 17; - uses: gradle/actions/setup-gradle@v3; - run: ./gradlew build lintDebug testDebugUnitTest,No CI pipeline; bugs found after merging to main; manual './gradlew build' before each commit,Medium,
CICD,Gradle Build Cache,Enable Gradle build cache and configuration cache for faster CI and local builds. Remote cache shared across team members eliminates redundant compilation.,Build cache + configuration cache enabled; remote cache for team,No caching; full rebuild every CI run,# gradle.properties: org.gradle.caching=true; org.gradle.configuration-cache=true; # settings.gradle.kts: buildCache { local { isEnabled = true }; remote<HttpBuildCache> { url = uri('https://cache.myteam.com/'); isPush = System.getenv('CI') != null } },# Every CI run: 8-minute full rebuild; every developer rebuilds everything locally,Medium,https://developer.android.com/build/optimize-your-build
CICD,Automated Release with Signing,Automate APK/AAB signing in CI using environment secrets for keystore. Never commit keystores to version control. Use bundletool for local AAB testing.,Keystore secrets in CI environment variables; AAB for Play Store,Keystore committed to git or manual signing on developer machine,# CI: KEYSTORE_BASE64 and KEY_PASSWORD as secrets; android { signingConfigs { release { storeFile = file(System.getenv('KEYSTORE_PATH')); storePassword = System.getenv('STORE_PASSWORD'); keyAlias = System.getenv('KEY_ALIAS'); keyPassword = System.getenv('KEY_PASSWORD') } } },// keystore.jks committed to git; passwords in gradle.properties pushed to remote // OR: manual signing on one developers machine before each release,High,
CICD,Detekt and Ktlint,"Integrate static analysis (Detekt for code smells, Ktlint for formatting) in CI. Fail the build on violations to maintain code quality standards.",Detekt + Ktlint in CI pipeline failing on violations,No static analysis; code style debates in PR reviews,// build.gradle.kts: plugins { id('io.gitlab.arturbosch.detekt'); id('org.jlleitschuh.gradle.ktlint') }; detekt { config.setFrom('config/detekt.yml'); buildUponDefaultConfig = true }; // CI step: ./gradlew detekt ktlintCheck,No automated style checks; inconsistent formatting across team; 50-comment PR reviews about spacing,Medium,https://detekt.dev/docs/intro
Android 10 (API 29),Scoped Storage,Apps targeting API 29+ get scoped access to external storage by default limiting access to app-specific directories and media the app created. Apps can temporarily opt out via requestLegacyExternalStorage=true.,Use MediaStore or SAF for shared files; app-specific dirs for private files,Directly access arbitrary files on external storage via file paths,getExternalFilesDir(null) for private; MediaStore.Images for shared photos,File('/sdcard/Download/file.txt') // direct path access fails on API 29+,Critical,https://developer.android.com/about/versions/10/privacy/changes
Android 10 (API 29),Background Activity Restrictions,Apps running in the background cannot start activities directly on API 29+. Must use high-priority notifications with full-screen intents instead.,Use high-priority notification with fullScreenIntent for urgent alerts,Start activities from background services or broadcast receivers,"NotificationCompat.Builder(ctx, 'urgent').setFullScreenIntent(pendingIntent, true).setPriority(PRIORITY_HIGH).build()",startActivity(intent) // from background service; blocked on API 29+,High,https://developer.android.com/guide/components/activities/background-starts
Android 10 (API 29),Background Location Permission,Apps must request ACCESS_BACKGROUND_LOCATION to access location in the background on API 29+. Foreground services accessing location must declare foregroundServiceType=location.,Request ACCESS_BACKGROUND_LOCATION separately; declare foregroundServiceType=location,Assume location access works in background with only ACCESS_FINE_LOCATION,<service android:foregroundServiceType='location' />; requestPermissions(arrayOf(ACCESS_BACKGROUND_LOCATION)),// Only ACCESS_FINE_LOCATION requested; location stops working in background,High,https://developer.android.com/develop/sensors-and-location/location/permissions
Android 11 (API 30),Scoped Storage Enforcement,Scoped storage is fully enforced on API 30+. The requestLegacyExternalStorage manifest flag is ignored. Apps must use MediaStore SAF or app-specific directories for all file access.,Use MediaStore APIs SAF or app-specific directories exclusively,Rely on requestLegacyExternalStorage flag; it is ignored on API 30+,"contentResolver.query(MediaStore.Images.Media.EXTERNAL_CONTENT_URI, projection, selection, null, null)",android:requestLegacyExternalStorage='true' // ignored on API 30+; File() paths fail,Critical,https://developer.android.com/about/versions/11/privacy/storage
Android 11 (API 30),Package Visibility,Apps targeting API 30+ cannot query all installed packages by default. Must declare specific packages or intent filters using the queries element in the manifest to discover other apps.,Declare queries element in manifest for packages your app needs to interact with,Call queryIntentActivities or getInstalledPackages without queries declaration,<queries><package android:name='com.example.app' /><intent><action android:name='android.intent.action.SEND' /></intent></queries>,// packageManager.getInstalledPackages(0) returns empty on API 30+ without queries,High,https://developer.android.com/about/versions/11/privacy/package-visibility
Android 11 (API 30),One-Time Permissions,Users can grant location camera and microphone permissions as Only this time on API 30+. Permission is auto-revoked when the app activity is no longer visible and no foreground service is running.,Handle permission being revoked between sessions; re-check before use,Assume permission persists after a single grant,if (checkSelfPermission(CAMERA) == GRANTED) { openCamera() } else { requestPermission() },// Assume camera permission granted once lasts forever; crash when revoked,Medium,https://developer.android.com/about/versions/11/privacy/permissions
Android 11 (API 30),Foreground Service Camera Mic Type,Apps targeting API 30+ that access camera or microphone from a foreground service must declare foregroundServiceType camera or microphone in manifest.,Declare foregroundServiceType=camera|microphone for services using these sensors,Access camera or microphone from foreground service without declaring type,<service android:name='.RecordingService' android:foregroundServiceType='camera|microphone' />,<service android:name='.RecordingService' /> // no type; camera/mic access denied from foreground service,High,https://developer.android.com/about/versions/11/privacy/foreground-services
Android 12 (API 31),Exported Components Required,Any activity service or broadcast receiver with intent filters must explicitly set android:exported=true or false. Missing this causes an installation error on API 31+.,Explicitly set android:exported on all components with intent-filters,Omit android:exported attribute on components with intent filters,<activity android:name='.MainActivity' android:exported='true'><intent-filter>...</intent-filter></activity>,<activity android:name='.MainActivity'><intent-filter>...</intent-filter></activity> // install fails on API 31+,Critical,https://developer.android.com/about/versions/12/behavior-changes-12
Android 12 (API 31),Exact Alarm Permission,Apps must declare SCHEDULE_EXACT_ALARM and verify via canScheduleExactAlarms() before calling setExact() or setExactAndAllowWhileIdle() on AlarmManager.,Declare SCHEDULE_EXACT_ALARM; check canScheduleExactAlarms() before use,Call setExact() without permission; crashes on API 31+,"if (alarmManager.canScheduleExactAlarms()) { alarmManager.setExact(AlarmManager.RTC_WAKEUP, triggerTime, pendingIntent) }","alarmManager.setExact(AlarmManager.RTC_WAKEUP, triggerTime, pendingIntent) // SecurityException on API 31+",High,https://developer.android.com/develop/background-work/services/alarms
Android 12 (API 31),SplashScreen API Migration,Android 12 applies a system default splash screen on cold/warm starts for all apps. Apps must migrate to the SplashScreen API to avoid duplicate splash screens.,Use installSplashScreen() and migrate from custom splash Activity,Keep custom SplashActivity with delay; causes duplicate splash on Android 12+,installSplashScreen().setKeepOnScreenCondition { viewModel.isLoading.value },// Custom SplashActivity + Handler.postDelayed = user sees TWO splash screens on Android 12+,High,https://developer.android.com/develop/ui/views/launch/splash-screen/migrate
Android 12 (API 31),Approximate Location Option,Users can grant only approximate (coarse) location even when apps request fine location on API 31+. Apps must declare both ACCESS_FINE_LOCATION and ACCESS_COARSE_LOCATION.,Declare both ACCESS_FINE_LOCATION and ACCESS_COARSE_LOCATION; handle approximate grants,Request only ACCESS_FINE_LOCATION; system ignores the request on API 31+,"requestPermissions(arrayOf(ACCESS_FINE_LOCATION, ACCESS_COARSE_LOCATION), REQUEST_CODE)",requestPermissions(arrayOf(ACCESS_FINE_LOCATION)) // system ignores; no permission dialog shown on API 31+,High,https://developer.android.com/about/versions/12/behavior-changes-all
Android 12 (API 31),New Bluetooth Permissions,Apps targeting API 31+ must use BLUETOOTH_SCAN BLUETOOTH_CONNECT and BLUETOOTH_ADVERTISE instead of legacy BLUETOOTH and BLUETOOTH_ADMIN. Location no longer required for scanning if neverForLocation is set.,Use new granular Bluetooth permissions; set neverForLocation on BLUETOOTH_SCAN,Use deprecated BLUETOOTH/BLUETOOTH_ADMIN permissions on API 31+,<uses-permission android:name='android.permission.BLUETOOTH_CONNECT' />; <uses-permission android:name='android.permission.BLUETOOTH_SCAN' android:usesPermissionFlags='neverForLocation' />,<uses-permission android:name='android.permission.BLUETOOTH' /> // deprecated; does nothing on API 31+,High,https://developer.android.com/develop/connectivity/bluetooth/bt-permissions
Android 12 (API 31),PendingIntent Mutability Flag,Every PendingIntent must specify FLAG_MUTABLE or FLAG_IMMUTABLE on API 31+. Creating a PendingIntent without one of these flags throws IllegalArgumentException.,Always specify FLAG_IMMUTABLE (default) or FLAG_MUTABLE when needed,Create PendingIntent without mutability flag; crashes on API 31+,"PendingIntent.getActivity(ctx, 0, intent, PendingIntent.FLAG_IMMUTABLE or PendingIntent.FLAG_UPDATE_CURRENT)","PendingIntent.getActivity(ctx, 0, intent, PendingIntent.FLAG_UPDATE_CURRENT) // IllegalArgumentException on API 31+",Critical,https://developer.android.com/about/versions/12/behavior-changes-12
Android 13 (API 33),Photo Picker,Android 13 introduces a system photo picker for selecting images and videos without broad storage permissions. No runtime permissions needed to use it.,Use the system Photo Picker via PickVisualMedia contract for media selection,Request READ_EXTERNAL_STORAGE for simple media selection; use custom gallery pickers,val pickMedia = rememberLauncherForActivityResult(PickVisualMedia()) { uri -> uri?.let { processImage(it) } }; pickMedia.launch(PickVisualMediaRequest(PickVisualMedia.ImageOnly)),// Custom file picker with READ_EXTERNAL_STORAGE; or ACTION_GET_CONTENT for media selection,High,https://developer.android.com/training/data-storage/shared/photo-picker
Android 13 (API 33),Granular Media Permissions,READ_EXTERNAL_STORAGE is replaced by READ_MEDIA_IMAGES READ_MEDIA_VIDEO and READ_MEDIA_AUDIO on API 33+. Each must be requested individually based on the type of media accessed.,Request specific READ_MEDIA_* permissions matching the media types your app uses,Request READ_EXTERNAL_STORAGE on API 33+; it is denied automatically,"if (Build.VERSION.SDK_INT >= 33) requestPermissions(arrayOf(READ_MEDIA_IMAGES, READ_MEDIA_VIDEO))",requestPermissions(arrayOf(READ_EXTERNAL_STORAGE)) // auto-denied on API 33+; no media access,Critical,https://developer.android.com/about/versions/13/behavior-changes-13
Android 13 (API 33),POST_NOTIFICATIONS Permission,Apps targeting API 33+ must request POST_NOTIFICATIONS runtime permission before sending notifications. Without it all non-exempt notifications are silently blocked.,Request POST_NOTIFICATIONS at an appropriate moment before sending notifications,Skip permission request; notifications silently fail on API 33+,"if (Build.VERSION.SDK_INT >= 33) { requestPermissions(arrayOf(Manifest.permission.POST_NOTIFICATIONS), REQUEST_CODE) }",// Show notifications without POST_NOTIFICATIONS permission; users never see them on API 33+,Critical,https://developer.android.com/develop/ui/views/notifications/notification-permission
Android 13 (API 33),Per-App Language Preferences,Android 13 adds system APIs for per-app language that let users set a different language per app. Apps should migrate from custom in-app language pickers to LocaleManager.,Use LocaleManager.setApplicationLocales() / getApplicationLocales() and declare localeConfig in manifest,Use custom SharedPreferences-based locale switching or AppCompatDelegate.setApplicationLocales only,<locale-config> in res/xml; LocaleManager.getApplicationLocales() for reading user preference,// Custom locale logic: AppCompatDelegate.setApplicationLocales() without system integration; no localeConfig,Medium,https://developer.android.com/guide/topics/resources/app-languages
Android 13 (API 33),Exact Alarm Pre-Grant Removed,SCHEDULE_EXACT_ALARM is no longer pre-granted for fresh installs on API 33+. Apps that are not alarm/timer/calendar apps should migrate to USE_EXACT_ALARM or inexact alarms.,Use USE_EXACT_ALARM for alarm-clock apps; migrate others to inexact alarms or WorkManager,Assume SCHEDULE_EXACT_ALARM is granted by default on API 33+,// For alarm apps: <uses-permission android:name='android.permission.USE_EXACT_ALARM' />; // For others: alarmManager.setWindow() or WorkManager,// SCHEDULE_EXACT_ALARM assumed granted; alarms silently fail on fresh install API 33+,High,https://developer.android.com/about/versions/14/changes/schedule-exact-alarms
Android 14 (API 34),Foreground Service Types Required,All foreground services must declare a specific foregroundServiceType in the manifest on API 34+. Starting a service without a declared type throws MissingForegroundServiceTypeException.,Declare foregroundServiceType for every foreground service in manifest,Start foreground service without declaring foregroundServiceType; crashes on API 34+,"<service android:name='.SyncService' android:foregroundServiceType='dataSync' />; startForeground(id, notification, FOREGROUND_SERVICE_TYPE_DATA_SYNC)",<service android:name='.SyncService' /> // MissingForegroundServiceTypeException on API 34+,Critical,https://developer.android.com/about/versions/14/changes/fgs-types-required
Android 14 (API 34),Partial Photo Video Access,Users can grant access to selected photos/videos only instead of the entire library on API 34+. Apps should request READ_MEDIA_VISUAL_USER_SELECTED and handle partial grants with re-selection.,Request READ_MEDIA_VISUAL_USER_SELECTED; handle partial grants and prompt re-selection when needed,Assume full media library access after permission grant on API 34+,"requestPermissions(arrayOf(READ_MEDIA_IMAGES, READ_MEDIA_VISUAL_USER_SELECTED)); // Handle PERMISSION_GRANTED vs partial",// Assume all photos accessible after grant; app shows empty gallery when user selected only a few photos,High,https://developer.android.com/about/versions/14/changes/partial-photo-video-access
Android 14 (API 34),Screenshot Detection API,A new privacy-preserving API lets apps register per-activity callbacks when users take a screenshot. The callback notifies the app but does not provide the screenshot image itself.,Register Activity.ScreenCaptureCallback for screenshot-sensitive screens,Use FileObserver on screenshot directories or no screenshot awareness,"registerScreenCaptureCallback(mainExecutor, callback); // callback.onScreenCaptured() triggers UI notice",// FileObserver on /Pictures/Screenshots; or no detection at all for sensitive banking screens,Medium,https://developer.android.com/about/versions/14/features/screenshot-detection
Android 14 (API 34),Full-Screen Intent Restriction,USE_FULL_SCREEN_INTENT is restricted to calling and alarm apps only on API 34+. Google Play revokes this permission for non-qualifying apps. Check canUseFullScreenIntent() before use.,Check NotificationManager.canUseFullScreenIntent(); only use for calls/alarms,Use USE_FULL_SCREEN_INTENT for marketing notifications or non-urgent alerts,"if (notificationManager.canUseFullScreenIntent()) { builder.setFullScreenIntent(pendingIntent, true) }",// USE_FULL_SCREEN_INTENT for promotional notifications; permission revoked by Play on API 34+,High,https://developer.android.com/about/versions/14/behavior-changes-14
Android 14 (API 34),Implicit Intent Restrictions,Implicit intents are only delivered to exported components on API 34+. Sending an implicit intent to a non-exported component or mutable PendingIntent without specifying component throws an exception.,Use explicit intents for internal components; specify component/package on PendingIntents,Send implicit intents to internal components without exported=true,"val intent = Intent(ctx, MyReceiver::class.java) // explicit intent for internal component",sendBroadcast(Intent('com.myapp.ACTION')) // implicit intent to internal receiver; exception on API 34+,High,https://developer.android.com/about/versions/14/behavior-changes-14
Android 14 (API 34),Minimum targetSdkVersion 23,Apps with targetSdkVersion lower than 23 cannot be installed on Android 14+ devices. This ensures all apps support the runtime permissions model from Android 6.0.,Ensure targetSdkVersion >= 23 (ideally latest); follow Play Store target API requirements,Target SDK versions below 23; app cannot be installed on Android 14+,android { defaultConfig { targetSdk = 35 } },android { defaultConfig { targetSdk = 22 } } // cannot be installed on Android 14+ devices,Critical,https://developer.android.com/about/versions/14/behavior-changes-14
Android 15 (API 35),Edge-to-Edge Enforced,Apps targeting API 35 are displayed edge-to-edge by default drawing behind status bar and navigation bar. Apps must handle window insets properly to prevent UI from being obscured by system bars.,Handle WindowInsets with Modifier.windowInsetsPadding or Scaffold contentPadding,Ignore insets; UI content hidden behind status bar and navigation bar on API 35+,Scaffold { innerPadding -> Content(Modifier.padding(innerPadding)) }; // Or: Modifier.windowInsetsPadding(WindowInsets.systemBars),// No inset handling; text and buttons hidden behind status bar and gesture navigation bar on API 35+,Critical,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),16KB Page Size Support,Apps using NDK libraries must be rebuilt to support 16KB memory page sizes. Google Play requires all apps with native code targeting Android 15 to support 16KB pages.,Rebuild native libraries with 16KB page alignment; test on 16KB devices/emulators,Ship native libraries built with 4KB page alignment only; crashes on 16KB devices,// build.gradle: android.defaultConfig.ndk.abiFilters 'arm64-v8a'; // CMake: -DCMAKE_ANDROID_PAGE_SIZE=16384,// Native libraries compiled with 4KB page size only; crash or fail to load on 16KB page devices,Critical,https://developer.android.com/guide/practices/page-sizes
Android 15 (API 35),Predictive Back Enforced,The developer option for predictive back animations is removed on API 35. System back animations (back-to-home cross-task cross-activity) are now active by default for opted-in apps.,Set enableOnBackInvokedCallback=true; use OnBackPressedCallback for custom animations,Override onBackPressed or rely on deprecated back handling,<application android:enableOnBackInvokedCallback='true'>; // Use OnBackPressedCallback for custom logic,override fun onBackPressed() {} // deprecated; breaks predictive back animation on API 35+,High,https://developer.android.com/guide/navigation/custom-back/predictive-back-gesture
Android 15 (API 35),Private Space Support,Android 15 introduces Private Space a separate user profile for sensitive apps. Apps cannot detect if they run in Private Space. Launchers must declare ACCESS_HIDDEN_PROFILES to interact with it.,Support Private Space by using standard profile-aware APIs; handle multiple user profiles,Try to detect Private Space; assume single user profile only,// Use LauncherApps.getProfiles() for multi-profile support; declare ACCESS_HIDDEN_PROFILES for launchers,// Assume single user profile; launcher ignores Private Space apps entirely,Medium,https://developer.android.com/about/versions/15/behavior-changes-all
Android 15 (API 35),Non-SDK Interface Restrictions,Android 15 updates restricted non-SDK (hidden/internal) interface lists. Apps using blocked non-SDK methods will crash. Must migrate to public SDK alternatives.,Use only public SDK APIs; check for non-SDK usage with veridex tool,Use reflection to access hidden Android framework APIs,// Use official public APIs; run veridex scan: ./veridex --dex=app.apk,"// val method = Class.forName('android.os.SystemProperties').getMethod('get', String::class.java); method.invoke(null, 'ro.build.version') // blocked on API 35",High,https://developer.android.com/about/versions/15/changes/non-sdk-15
Android 15 (API 35),Media Projection Consent Per Session,Each MediaProjection capture session requires fresh user consent on API 35. Apps cannot reuse the Intent from createScreenCaptureIntent() across sessions. Calling createVirtualDisplay() more than once throws SecurityException.,Request fresh consent for each screen capture session via createScreenCaptureIntent(),Cache and reuse MediaProjection intent token across multiple sessions,val mediaProjectionManager = getSystemService<MediaProjectionManager>(); launcher.launch(mediaProjectionManager.createScreenCaptureIntent()) // every session,// Cache resultData from onActivityResult; reuse across sessions = SecurityException on API 35+,High,https://developer.android.com/media/grow/media-projection
Android 15 (API 35),Foreground Service dataSync 6-Hour Timeout,"dataSync foreground services are limited to 6 hours cumulative in a 24-hour period on API 35+. System calls Service.onTimeout(int, int) when limit reached. App must call stopSelf() within seconds or system throws RemoteServiceException and crashes the app.","Implement onTimeout() callback; call stopSelf() immediately; migrate long-running syncs to WorkManager or alternative job APIs",Run dataSync foreground services beyond 6 hours; ignore onTimeout callback; assume unlimited runtime,"override fun onTimeout(fgsType: Int, startId: Int) { stopSelf() // MUST stop within seconds }; // Use WorkManager for long syncs: WorkManager.getInstance(ctx).enqueue(OneTimeWorkRequestBuilder<SyncWorker>().build())","// No onTimeout implementation = RemoteServiceException crash after 6 hours; override fun onTimeout(fgsType: Int, startId: Int) { /* empty */ } // does not stop = crash",Critical,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),Foreground Service mediaProcessing Type,"New mediaProcessing foreground service type for transcoding and converting media files. Subject to same 6-hour timeout as dataSync. Must implement onTimeout() and request FOREGROUND_SERVICE_MEDIA_PROCESSING permission.",Declare foregroundServiceType=mediaProcessing in manifest; implement onTimeout(); use for media transcoding only,Use dataSync type for media processing; ignore the 6-hour timeout limit,"<uses-permission android:name='android.permission.FOREGROUND_SERVICE_MEDIA_PROCESSING' />; <service android:name='.TranscodeService' android:foregroundServiceType='mediaProcessing' />","<service android:name='.TranscodeService' android:foregroundServiceType='dataSync' /> // wrong type; should use mediaProcessing",High,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),BOOT_COMPLETED FGS Restrictions,"BOOT_COMPLETED broadcast receivers cannot launch dataSync camera mediaPlayback phoneCall mediaProjection or microphone foreground service types on API 35+. System throws ForegroundServiceStartNotAllowedException.",Do not start restricted FGS types from BOOT_COMPLETED; defer to user interaction or use WorkManager for background work,Start camera or dataSync foreground services from BOOT_COMPLETED receiver,"class BootReceiver : BroadcastReceiver() { override fun onReceive(ctx: Context, intent: Intent) { WorkManager.getInstance(ctx).enqueue(syncRequest) // use WorkManager instead } }","class BootReceiver : BroadcastReceiver() { override fun onReceive(ctx: Context, intent: Intent) { ctx.startForegroundService(Intent(ctx, DataSyncService::class.java)) } } // ForegroundServiceStartNotAllowedException on API 35+",Critical,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),Minimum targetSdkVersion 24,"Apps with targetSdkVersion below 24 cannot be installed on Android 15+ devices. Ensures all apps support runtime permissions model from Android 6.0. Already-installed apps remain but new installs are blocked.",Ensure targetSdkVersion >= 24 (ideally latest stable API); update legacy apps to modern APIs,Keep targetSdkVersion below 24; rely on legacy permission model without runtime requests,android { defaultConfig { targetSdk = 35 } } // target latest stable API,android { defaultConfig { targetSdk = 22 } } // INSTALL_FAILED_DEPRECATED_SDK_VERSION on Android 15,Critical,https://developer.android.com/about/versions/15/behavior-changes-all
Android 15 (API 35),TLS 1.0 and 1.1 Disabled,"TLS versions 1.0 and 1.1 are disabled for apps targeting API 35+. All HTTPS connections must use TLS 1.2 or higher. Connections to servers supporting only TLS 1.0/1.1 will fail with SSLHandshakeException.",Ensure all API endpoints and servers support TLS 1.2+; update server configurations; test with network profiler,Rely on TLS 1.0/1.1 for legacy server connections; ignore SSLHandshakeException errors,// TLS 1.2+ is automatic with OkHttp and HttpURLConnection on API 35+; // Verify server: openssl s_client -connect api.example.com:443 -tls1_2,// Server only supports TLS 1.0 = SSLHandshakeException on API 35+; // Forcing TLS 1.0: sslContext.init(SSLContext.getInstance('TLSv1')) // fails,High,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),String.format Stricter Validation,"String.format() and Formatter.format() now enforce stricter argument index validation on API 35+. Argument index 0 is illegal (indices start at 1). Invalid format strings throw IllegalFormatArgumentIndexException at runtime.",Audit all String.format() calls; ensure argument indices start at 1; run lint checks,"Use argument index 0 in format strings; rely on lenient formatting behavior from older Android versions","String.format('%1\$s has %2\$d items', name, count) // indices start at 1","String.format('%0\$s has %1\$d items', name, count) // IllegalFormatArgumentIndexException on API 35+",High,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),Arrays.asList().toArray() Type Change,"Arrays.asList(...).toArray() now returns Object[] instead of the original element type on API 35+. Casting the result to a typed array throws ClassCastException. Use toArray(T[]) overload instead.",Use toArray(new String[0]) or toArray(T[]) overload for typed arrays,Cast Arrays.asList().toArray() directly to typed array,"val elements: Array<String> = listOf('one', 'two').toArray(arrayOf<String>()) // typed overload","val elements = Arrays.asList('one', 'two').toArray() as Array<String> // ClassCastException on API 35+",High,https://developer.android.com/about/versions/15/behavior-changes-15
Android 15 (API 35),Kotlin removeFirst/removeLast Conflict,"Android 15 adds SequencedCollection.removeFirst()/removeLast() methods that conflict with Kotlin stdlib extensions. Code compiled with compileSdk=35 calling list.removeFirst() will throw NoSuchMethodError on Android 14 and below.",Use list.removeAt(0) and list.removeAt(list.lastIndex) instead; run lint to detect the issue,Use removeFirst()/removeLast() on MutableList when minSdk < 35,"val first = list.removeAt(0); val last = list.removeAt(list.lastIndex) // works on all API levels","val first = list.removeFirst() // NoSuchMethodError on API < 35; compiles fine with compileSdk=35",High,https://developer.android.com/about/versions/15/behavior-changes-15
